element_id,Strain
1, 0.01392826
1, 0.013616239
1, 0.013933426
1, 0.013429927
1, 0.014132613
1, 0.013485764
1, 0.014097305
1, 0.013259019
2, 0.012822597
2, 0.012132106
2, 0.012409392
2, 0.011580442
2, 0.012395106
2, 0.011698167
2, 0.011882149
2, 0.011046909
3, 0.011245928
3, 0.011230013
3, 0.010801883
3, 0.0111416
3, 0.010956996
3, 0.011143943
3, 0.010596336
3, 0.011138871
4, 0.011077862
4, 0.011145123
4, 0.011123709
4, 0.011196453
4, 0.0111761335
4, 0.011267791
4, 0.0111215655
4, 0.01121869
5, 0.011774299
5, 0.0127726365
5, 0.011434838
5, 0.012255787
5, 0.011888009
5, 0.012989831
5, 0.011573863
5, 0.012498282
6, 0.013360885
6, 0.013424982
6, 0.012652482
6, 0.012665114
6, 0.013563489
6, 0.013578989
6, 0.012925165
6, 0.012889218
7, 0.013548473
7, 0.013731615
7, 0.012838182
7, 0.012909029
7, 0.013382185
7, 0.012983893
7, 0.012668443
7, 0.012158255
8, 0.0135972565
8, 0.013665971
8, 0.012925615
8, 0.013122072
8, 0.013199933
8, 0.01403743
8, 0.012557945
8, 0.0135229165
9, 0.014169667
9, 0.013655399
9, 0.013293221
9, 0.013007572
9, 0.014466203
9, 0.0132428855
9, 0.01366089
9, 0.012666472
10, 0.01358976
10, 0.014284107
10, 0.013319484
10, 0.014195954
10, 0.013197846
10, 0.014485451
10, 0.012750414
10, 0.014219592
11, 0.014413233
11, 0.013871495
11, 0.014386921
11, 0.013617708
11, 0.014918189
11, 0.014363859
11, 0.015030389
11, 0.014248066
12, 0.013163801
12, 0.01301017
12, 0.0127113415
12, 0.012521208
12, 0.012484606
12, 0.012323683
12, 0.011974736
12, 0.011777379
13, 0.011670186
13, 0.009709917
13, 0.011618506
13, 0.009405029
13, 0.010964173
13, 0.009226236
13, 0.011280943
13, 0.009289066
14, 0.008815446
14, 0.010053439
14, 0.008655442
14, 0.009845407
14, 0.008601637
14, 0.009912835
14, 0.008371497
14, 0.009634522
15, 0.010430349
15, 0.010272664
15, 0.010073914
15, 0.009946146
15, 0.010290213
15, 0.01044947
15, 0.009880703
15, 0.0100697735
16, 0.0101488745
16, 0.010360801
16, 0.009890432
16, 0.009998331
16, 0.0106310705
16, 0.010945825
16, 0.010417846
16, 0.0106285075
17, 0.010562383
17, 0.010339384
17, 0.010168656
17, 0.009851379
17, 0.011243161
17, 0.01117743
17, 0.010824488
17, 0.010664387
18, 0.010254045
18, 0.010091197
18, 0.009530941
18, 0.009674069
18, 0.0109211765
18, 0.010465552
18, 0.010361392
18, 0.010211994
19, 0.0104289055
19, 0.011791705
19, 0.010091243
19, 0.011343497
19, 0.010547805
19, 0.010984802
19, 0.010004178
19, 0.01033079
20, 0.011922974
20, 0.010754211
20, 0.011619645
20, 0.01055595
20, 0.01100895
20, 0.010535281
20, 0.010541315
20, 0.010172683
21, 0.0112470845
21, 0.013204882
21, 0.010662912
21, 0.0122254165
21, 0.01106615
21, 0.0128525905
21, 0.0106552215
21, 0.012046904
22, 0.013785112
22, 0.012841885
22, 0.012810149
22, 0.012467318
22, 0.013705037
22, 0.012590318
22, 0.012560159
22, 0.012046386
23, 0.008777224
23, 0.00767205
23, 0.008004218
23, 0.006739652
23, 0.008249946
23, 0.0073240497
23, 0.007388413
23, 0.0063032936
24, 0.007429718
24, 0.007246773
24, 0.0062780515
24, 0.0064711682
24, 0.007747285
24, 0.007811519
24, 0.006579567
24, 0.007020099
25, 0.00776012
25, 0.008532188
25, 0.0074669207
25, 0.007921227
25, 0.0077979243
25, 0.008134155
25, 0.00742894
25, 0.007447678
26, 0.008719961
26, 0.009109624
26, 0.008128835
26, 0.008835067
26, 0.008117274
26, 0.008622107
26, 0.007536172
26, 0.008357286
27, 0.00855513
27, 0.007804696
27, 0.008229997
27, 0.007436888
27, 0.008450339
27, 0.007856174
27, 0.008126835
27, 0.007489948
28, 0.0074792705
28, 0.0073259007
28, 0.0073928395
28, 0.0072550485
28, 0.0075972956
28, 0.007651572
28, 0.007589764
28, 0.007659576
29, 0.0074539683
29, 0.007709133
29, 0.0075871586
29, 0.0076091117
29, 0.008063606
29, 0.008779802
29, 0.008010303
29, 0.008493031
30, 0.007807564
30, 0.008118836
30, 0.007233075
30, 0.0075788214
30, 0.008763244
30, 0.00854424
30, 0.008617459
30, 0.008433217
31, 0.008320155
31, 0.007732094
31, 0.0071490374
31, 0.0066058883
31, 0.008675754
31, 0.0085454825
31, 0.0077234264
31, 0.007637628
32, 0.0074110213
32, 0.008266005
32, 0.007141771
32, 0.007972798
32, 0.008243498
32, 0.008205797
32, 0.007836335
32, 0.0077748126
33, 0.008796266
33, 0.008994668
33, 0.008253717
33, 0.0084413625
33, 0.008313363
33, 0.008545258
33, 0.007534034
33, 0.007755065
34, 0.007355593
34, 0.0066473316
34, 0.0069940947
34, 0.006623818
34, 0.0071792346
34, 0.006681274
34, 0.0068432004
34, 0.006682959
35, 0.00662989
35, 0.0074818763
35, 0.007020836
35, 0.007695165
35, 0.007034538
35, 0.0071913255
35, 0.007286931
35, 0.0072658276
36, 0.0077445065
36, 0.0067673097
36, 0.0074724355
36, 0.0065244343
36, 0.006832246
36, 0.0060124937
36, 0.006741267
36, 0.0059505166
37, 0.005855633
37, 0.00607861
37, 0.005247865
37, 0.005155895
37, 0.005277457
37, 0.0056061926
37, 0.004988538
37, 0.0050026006
38, 0.0058913203
38, 0.0061771777
38, 0.0052238214
38, 0.005613113
38, 0.005575599
38, 0.005768057
38, 0.0048997463
38, 0.005195668
39, 0.0067983908
39, 0.0067717307
39, 0.00598559
39, 0.0061146794
39, 0.0064604348
39, 0.0066058594
39, 0.005649359
39, 0.005950455
40, 0.0074146423
40, 0.0077677453
40, 0.00686458
40, 0.0072399424
40, 0.007025761
40, 0.0075683394
40, 0.0063895048
40, 0.0069542127
41, 0.007334738
41, 0.0070677814
41, 0.006996914
41, 0.006708416
41, 0.007965931
41, 0.007863854
41, 0.0074041607
41, 0.007280432
42, 0.006709435
42, 0.007010004
42, 0.0068504
42, 0.007328546
42, 0.0070585366
42, 0.0068060886
42, 0.0070484965
42, 0.0069735614
43, 0.0076110056
43, 0.0075612594
43, 0.0072007147
43, 0.0069983746
43, 0.0071181725
43, 0.007569276
43, 0.006664108
43, 0.0069625033
44, 0.007552128
44, 0.007565799
44, 0.007092705
44, 0.0069466545
44, 0.007504128
44, 0.0073602935
44, 0.0071727773
44, 0.0068693394
45, 0.005393143
45, 0.006092653
45, 0.0054700677
45, 0.0061115418
45, 0.0045669037
45, 0.005758274
45, 0.0048748674
45, 0.0060084304
46, 0.0066423
46, 0.0061395634
46, 0.0062726615
46, 0.005957157
46, 0.0067796702
46, 0.0064965175
46, 0.006331903
46, 0.0062359865
47, 0.0054898267
47, 0.0050212373
47, 0.005371894
47, 0.004973334
47, 0.0061193234
47, 0.005941973
47, 0.0061238604
47, 0.0060165827
48, 0.0043056263
48, 0.004116377
48, 0.004565452
48, 0.004243989
48, 0.0054566693
48, 0.0050462037
48, 0.005663271
48, 0.005120384
49, 0.0039481465
49, 0.0035067105
49, 0.0035909233
49, 0.003040792
49, 0.00447501
49, 0.003939835
49, 0.0040857173
49, 0.0034418474
50, 0.003533758
50, 0.0043309284
50, 0.0032538003
50, 0.0040496467
50, 0.0037619197
50, 0.003995333
50, 0.003393129
50, 0.0036253096
51, 0.004990367
51, 0.005253533
51, 0.0047973227
51, 0.005170604
51, 0.0041195713
51, 0.0045464397
51, 0.004072916
51, 0.0046098623
52, 0.005176223
52, 0.0051439893
52, 0.0048669097
52, 0.004852642
52, 0.004999891
52, 0.005055425
52, 0.0046338993
52, 0.0047073644
53, 0.0051682317
53, 0.005485866
53, 0.004765136
53, 0.004934293
53, 0.0048718886
53, 0.0050445935
53, 0.0044620447
53, 0.004486379
54, 0.0050556976
54, 0.0045821094
54, 0.0052555087
54, 0.0047946125
54, 0.0043311347
54, 0.0037252235
54, 0.00436286
54, 0.003769732
55, 0.004512071
55, 0.0045427126
55, 0.0046325237
55, 0.0047146217
55, 0.0036798704
55, 0.0036122901
55, 0.0037845345
55, 0.0037683607
56, 0.0062281676
56, 0.0058672535
56, 0.005775171
56, 0.005461842
56, 0.006814986
56, 0.006442623
56, 0.006385913
56, 0.0060611703
57, 0.0056494693
57, 0.0059894426
57, 0.0053677424
57, 0.0057724025
57, 0.006010074
57, 0.0062807496
57, 0.0058179335
57, 0.00615339
58, 0.0058651036
58, 0.006065338
58, 0.006154997
58, 0.00633581
58, 0.006449525
58, 0.0068511125
58, 0.0065170215
58, 0.006899134
59, 0.005725133
59, 0.005158269
59, 0.006007266
59, 0.005509906
59, 0.0064495257
59, 0.005438813
59, 0.006679278
59, 0.0057380763
60, 0.004485144
60, 0.004094744
60, 0.005154228
60, 0.0048818653
60, 0.0043370132
60, 0.0038811644
60, 0.0049973745
60, 0.004659519
61, 0.0038355575
61, 0.003349224
61, 0.0042434335
61, 0.0035998027
61, 0.0037240977
61, 0.0036482436
61, 0.004171517
61, 0.0039384384
62, 0.0033612922
62, 0.003785766
62, 0.0033080222
62, 0.003638478
62, 0.0036549873
62, 0.0038615162
62, 0.003619723
62, 0.0037322612
63, 0.0035233789
63, 0.0037280563
63, 0.0035881242
63, 0.0039761383
63, 0.0035878636
63, 0.0036047418
63, 0.0036043082
63, 0.0038044685
64, 0.0039973822
64, 0.004394311
64, 0.004050908
64, 0.0044947746
64, 0.0038021815
64, 0.004363498
64, 0.003958447
64, 0.0045667593
65, 0.005569192
65, 0.0059088008
65, 0.00542005
65, 0.0056570387
65, 0.0050981464
65, 0.005223351
65, 0.004998661
65, 0.0050213924
66, 0.0063306857
66, 0.006229428
66, 0.006369528
66, 0.006110946
66, 0.006028136
66, 0.0063610263
66, 0.0060765375
66, 0.0062521435
