,frame_id,time,Strain,Stress
0,0,0.0,0.0,0.0
1,1,10.0,0.0039917990555633515,686.5675717990597
2,2,20.0,0.007967287959219665,1383.185592958005
3,3,30.0,0.011926603605186829,2089.898769111638
4,4,40.0,0.01586988146374206,2805.5510937832482
5,5,50.0,0.01979711500107019,3488.1674410177584
6,6,60.0,0.023707594507050254,3986.477395051643
7,7,70.0,0.027600945372852598,4265.51303927409
8,8,80.0,0.03147757569061167,4424.835848910644
9,9,90.0,0.03533788156257105,4530.18481140791
10,10,100.0,0.039182125486602444,4609.760093819356
11,11,110.0,0.04301051031721564,4675.329808428346
12,12,120.0,0.046823217870330634,4732.2599015295555
13,13,130.0,0.050620406591763784,4783.296450795909
14,14,140.0,0.05440222630667249,4830.034398430295
15,15,150.0,0.05816883105540796,4873.476839743723
16,16,160.0,0.06192037846506516,4914.344342386892
17,17,170.0,0.06565701789462795,4953.13058581306
18,18,180.0,0.06937889205172801,4990.199715204787
19,19,190.0,0.07308613488297476,5025.8300069691295
20,20,200.0,0.0767788756113679,5060.235695784178
21,21,210.0,0.08045724679089536,5093.576874926498
22,22,220.0,0.08412138365301848,5125.967407745597
23,23,230.0,0.08777141423977597,5157.501619456623
24,24,240.0,0.09140745928424193,5188.26375850567
25,25,250.0,0.09502963697120749,5218.323847063709
26,26,260.0,0.09863806633401093,5247.737430597111
27,27,270.0,0.10223286872199161,5276.545698124742
28,28,280.0,0.10581416571963036,5304.782140802534
29,29,290.0,0.10938207830369182,5332.476136559287
30,30,300.0,0.11293672839482426,5359.652151648826
31,31,310.0,0.11647823842169741,5386.334883085413
32,32,320.0,0.12000672952611086,5412.549489658244
33,33,330.0,0.12352232048116601,5438.320657199695
34,34,340.0,0.1270251265137755,5463.671862834068
35,35,350.0,0.13051526106431832,5488.623180442138
36,36,360.0,0.1339928346475297,5513.191767316721
37,37,370.0,0.1374579557031489,5537.390973547831
38,38,380.0,0.1409107294538255,5561.231003418822
39,39,390.0,0.14435125478124117,5584.72355162941
40,40,400.0,0.14777962501562997,5607.88113479315
41,41,410.0,0.15119593147003574,5630.717412957147
42,42,420.0,0.15460026794421963,5653.243693810584
43,43,430.0,0.15799273098405586,5675.4655897788725
44,44,440.0,0.16137341622427592,5697.384914325006
45,45,450.0,0.16474241641029885,5719.003956624571
46,46,460.0,0.16809982222037168,5740.326881288583
47,47,470.0,0.1714457207953997,5761.360523917059
48,48,480.0,0.17478019517669074,5782.113915609977
49,49,490.0,0.17810332675094392,5802.595207452329
50,50,500.0,0.18141518029204762,5822.81027692547
51,51,510.0,0.18471586114496272,5842.756389965614
52,52,520.0,0.18800544238954187,5862.45124788216
53,53,530.0,0.1912839904809847,5881.902135576279
54,54,540.0,0.19455157221894162,5901.120911422735
55,55,550.0,0.19780825403112243,5920.115321222302
56,56,560.0,0.2010541046125139,5938.88905634624
57,57,570.0,0.20428919655162453,5957.44441454648
58,58,580.0,0.20751360202899222,5975.7857091974465
59,59,590.0,0.2107273904982286,5993.920894345929
60,60,600.0,0.21393062534207785,6011.859486693032
61,61,610.0,0.21712336742548316,6029.610344636802
62,62,620.0,0.22030567521106748,6047.181675611194
63,63,630.0,0.2234776054466554,6064.580441495576
64,64,640.0,0.22663921550553243,6081.8100684781575
65,65,650.0,0.22979056773934337,6098.8703396640685
66,66,660.0,0.23293172755662686,6115.762536460797
67,67,670.0,0.23606275847209773,6132.492481262059
68,68,680.0,0.23918371901866106,6149.067084866264
69,69,690.0,0.24229466474808342,6165.489380748994
70,70,700.0,0.24539565236462563,6181.758752995863
71,71,710.0,0.2484867386303516,6197.870687544599
72,72,720.0,0.2515679844235654,6213.818830562635
73,73,730.0,0.25463944778907044,6229.601840833292
74,74,740.0,0.2577011788314409,6245.22438248254
75,75,750.0,0.2607532208922678,6260.692947537514
76,76,760.0,0.2637956157205268,6276.014139600379
77,77,770.0,0.2668284069181361,6291.193366967686
78,78,780.0,0.2698516441759234,6306.233568356254
79,79,790.0,0.2728653791194657,6321.13480092541
80,80,800.0,0.275869667044315,6335.895717231173
81,81,810.0,0.27886456229480244,6350.5161223313635
82,82,820.0,0.28185011796095816,6364.99757455611
83,83,830.0,0.2848263884649742,6379.3407946563275
84,84,840.0,0.28779342984710193,6393.5441202011525
85,85,850.0,0.29075129817458334,6407.605327212605
86,86,860.0,0.2937000495634002,6421.522862485971
87,87,870.0,0.2966397355920951,6435.29558875876
88,88,880.0,0.29957040352295133,6448.922923506755
89,89,890.0,0.30249209897732465,6462.405736283911
90,90,900.0,0.30540486847529347,6475.746945704789
91,91,910.0,0.3083087607965787,6488.9516713467165
92,92,920.0,0.31120382656207063,6502.024490385356
93,93,930.0,0.3140901187327769,6514.968283477223
94,94,940.0,0.3169676868505452,6527.7859409761395
95,95,950.0,0.3198365759789582,6540.481573933373
96,96,960.0,0.32269682720888726,6553.059396861196
97,97,970.0,0.3255484804013107,6565.5217365351655
98,98,980.0,0.3283915755020686,6577.869862045167
99,99,990.0,0.3312261532385455,6590.105503418314
100,100,1000.0,0.3340522589103442,6602.230916152579
