element_id,el_vol
1, 2.02634371504473e-08
2, 2.02689065531558e-08
3, 2.02815613192797e-08
4, 2.02569232499172e-08
5, 2.02623819944847e-08
6, 2.02666381454719e-08
7, 2.02823038364386e-08
8, 2.02817567185321e-08
9, 2.0266504918709e-08
10, 2.02661460946274e-08
11, 2.02600460852409e-08
12, 2.0259745880935e-08
13, 2.02527719039836e-08
14, 2.02638794633003e-08
15, 2.02620942246767e-08
16, 2.02517309588757e-08
17, 2.02661301074158e-08
18, 2.02801473392356e-08
19, 2.02890539924283e-08
20, 2.02431902351918e-08
21, 2.02617549405204e-08
22, 2.0253187571484e-08
23, 2.02578807062537e-08
24, 2.02394687676133e-08
25, 2.02692795880921e-08
26, 2.02647818525747e-08
27, 2.02626342371559e-08
28, 2.02630747736521e-08
29, 2.0276724299606e-08
30, 2.02792751480274e-08
31, 2.02609360400174e-08
32, 2.02495815671e-08
33, 2.02585681563505e-08
34, 2.0247568954801e-08
35, 2.02475263222368e-08
36, 2.02676542215841e-08
37, 2.02498995349742e-08
38, 2.02476506672156e-08
39, 2.02345216138156e-08
40, 2.02529264470286e-08
41, 2.02621386335977e-08
42, 2.02494891965443e-08
43, 2.02379499825156e-08
44, 2.02399235149642e-08
45, 2.02637497892511e-08
46, 2.02615080269197e-08
47, 2.02598080534244e-08
48, 2.02500416435214e-08
49, 2.02520880066004e-08
50, 2.02591738940328e-08
51, 2.02601508902944e-08
52, 2.02769037116468e-08
53, 2.02687377992561e-08
54, 2.02621155409588e-08
55, 2.02566265983251e-08
56, 2.02646912583759e-08
57, 2.02558840811662e-08
58, 2.02563743556539e-08
59, 2.02577368213497e-08
60, 2.0269158795827e-08
61, 2.02803036586374e-08
62, 2.02724201869842e-08
63, 2.02803160931353e-08
64, 2.02900132251216e-08
65, 2.02808525529008e-08
66, 2.02684677930165e-08
67, 2.02599537146853e-08
68, 2.02524699233209e-08
69, 2.02477696831238e-08
70, 2.02570937801738e-08
71, 2.02641352586852e-08
72, 2.02680485728024e-08
73, 2.02815382266408e-08
74, 2.0291656355198e-08
75, 2.02876062616042e-08
76, 2.02782768354837e-08
77, 2.02693417605815e-08
78, 2.02538430471577e-08
79, 2.02515426650507e-08
80, 2.02497449919292e-08
81, 2.02550243244559e-08
82, 2.02724947939714e-08
83, 2.02677181704303e-08
84, 2.02709600216622e-08
85, 2.02858956299679e-08
86, 2.02823819961395e-08
87, 2.02875654053969e-08
88, 2.02643786195722e-08
89, 2.02480450184339e-08
90, 2.02401544413533e-08
91, 2.02596819320888e-08
92, 2.02586587505493e-08
93, 2.02610497268552e-08
94, 2.026651557685e-08
95, 2.02766621271167e-08
96, 2.02700789486698e-08
97, 2.02744274702127e-08
98, 2.02671746052374e-08
99, 2.02552978834092e-08
100, 2.02564862661347e-08
101, 2.02502423718443e-08
102, 2.02550154426717e-08
103, 2.02706900154226e-08
104, 2.02657393089112e-08
105, 2.02620480393989e-08
106, 2.02719068198576e-08
107, 2.02777847846392e-08
108, 2.0261936128918e-08
109, 2.0271647471759e-08
110, 2.02674570459749e-08
111, 2.0279069090634e-08
112, 2.02738661414514e-08
113, 2.02691321504744e-08
114, 2.02709866670148e-08
115, 2.02681675887106e-08
116, 2.02825916062466e-08
117, 2.02831316187257e-08
118, 2.0274534051623e-08
119, 2.02508569913107e-08
120, 2.0271404110872e-08
121, 2.02726280207344e-08
122, 2.02690326744914e-08
123, 2.02709156127412e-08
124, 2.02789820491489e-08
125, 2.02605701105085e-08
126, 2.02726901932238e-08
127, 2.02620764611083e-08
128, 2.02879668620426e-08
129, 2.02744629973495e-08
130, 2.02548147143489e-08
131, 2.02578132046938e-08
