frame_id,time
0,0.0
1,0.10000000149
2,0.20000000298
3,0.300000011921
4,0.40000000596
5,0.5
6,0.600000023842
7,0.699999988079
8,0.800000011921
9,0.899999976158
10,1.0
11,1.10000002384
12,1.20000004768
13,1.29999995232
14,1.39999997616
15,1.5
16,1.60000002384
17,1.70000004768
18,1.79999995232
19,1.89999997616
20,2.0
21,2.09999990463
22,2.20000004768
23,2.29999995232
24,2.40000009537
25,2.5
26,2.59999990463
27,2.70000004768
28,2.79999995232
29,2.90000009537
30,3.0
31,3.09999990463
32,3.20000004768
33,3.29999995232
34,3.40000009537
35,3.5
36,3.59999990463
37,3.70000004768
38,3.79999995232
39,3.90000009537
40,4.0
41,4.09999990463
42,4.19999980927
43,4.30000019073
44,4.40000009537
45,4.5
46,4.59999990463
47,4.69999980927
48,4.80000019073
49,4.90000009537
50,5.0
51,45.0
52,45.0999984741
53,45.2000007629
54,45.2999992371
55,45.4000015259
56,45.5
57,45.5999984741
58,45.7000007629
59,45.7999992371
60,45.9000015259
61,46.0
62,46.0999984741
63,46.2000007629
64,46.2999992371
65,46.4000015259
66,46.5
67,46.5999984741
68,46.7000007629
69,46.7999992371
70,46.9000015259
71,47.0
72,47.0999984741
73,47.2000007629
74,47.2999992371
75,47.4000015259
76,47.5
77,47.5999984741
78,47.7000007629
79,47.7999992371
80,47.9000015259
81,48.0
82,48.0999984741
83,48.2000007629
84,48.2999992371
85,48.4000015259
86,48.5
87,48.5999984741
88,48.7000007629
89,48.7999992371
90,48.9000015259
91,49.0
92,49.0999984741
93,49.2000007629
94,49.2999992371
95,49.4000015259
96,49.5
97,49.5999984741
98,49.7000007629
99,49.7999992371
100,49.9000015259
101,50.0
102,50.0999984741
103,50.2000007629
104,50.2999992371
105,50.4000015259
106,50.5
107,50.5999984741
108,50.7000007629
109,50.7999992371
110,50.9000015259
111,51.0
112,51.0999984741
113,51.2000007629
114,51.2999992371
115,51.4000015259
116,51.5
117,51.5999984741
118,51.7000007629
119,51.7999992371
120,51.9000015259
121,52.0
122,52.0999984741
123,52.2000007629
124,52.2999992371
125,52.4000015259
126,52.5
127,52.5999984741
128,52.7000007629
129,52.7999992371
130,52.9000015259
131,53.0
132,53.0999984741
133,53.2000007629
134,53.2999992371
135,53.4000015259
136,53.5
137,53.5999984741
138,53.7000007629
139,53.7999992371
140,53.9000015259
141,54.0
142,54.0999984741
143,54.2000007629
144,54.2999992371
145,54.4000015259
146,54.5
147,54.5999984741
148,54.7000007629
149,54.7999992371
150,54.9000015259
151,55.0
