element_id,Strain
1, 0.016323157
1, 0.015444871
1, 0.016313968
1, 0.015551788
1, 0.015839173
1, 0.015058398
1, 0.015977994
1, 0.015313249
2, 0.014166484
2, 0.012795793
2, 0.014275459
2, 0.012729598
2, 0.013722215
2, 0.012372525
2, 0.013839877
2, 0.012315099
3, 0.011754674
3, 0.011764834
3, 0.01197578
3, 0.012248299
3, 0.011395957
3, 0.011600199
3, 0.011548397
3, 0.0120148305
4, 0.011371537
4, 0.010980166
4, 0.011700939
4, 0.011452284
4, 0.011435974
4, 0.011152924
4, 0.011673213
4, 0.011532923
5, 0.011518369
5, 0.012470323
5, 0.011628479
5, 0.012445644
5, 0.011599136
5, 0.012470542
5, 0.011741648
5, 0.012478317
6, 0.012992912
6, 0.012833691
6, 0.012809917
6, 0.012500307
6, 0.012984186
6, 0.012941043
6, 0.012852005
6, 0.012658464
7, 0.01267696
7, 0.012323895
7, 0.012377333
7, 0.011959103
7, 0.012683606
7, 0.012182538
7, 0.012489397
7, 0.011923139
8, 0.012820793
8, 0.014303163
8, 0.012390517
8, 0.013585468
8, 0.013446913
8, 0.015536802
8, 0.01265863
8, 0.014459756
9, 0.01767855
9, 0.019909713
9, 0.016328856
9, 0.0187471
9, 0.01827165
9, 0.018910898
9, 0.017390128
9, 0.018217644
10, 0.020789502
10, 0.020795265
10, 0.019612646
10, 0.019889167
10, 0.019561363
10, 0.02068373
10, 0.018386882
10, 0.019779066
11, 0.01853064
11, 0.017006753
11, 0.01879377
11, 0.017102424
11, 0.018798633
11, 0.016834715
11, 0.018759694
11, 0.016629422
12, 0.015030796
12, 0.0146616995
12, 0.01444673
12, 0.013739844
12, 0.014626908
12, 0.014291795
12, 0.0139784
12, 0.013305528
13, 0.013276196
13, 0.011390928
13, 0.012638832
13, 0.011004087
13, 0.012933433
13, 0.011364842
13, 0.012748967
13, 0.011430167
14, 0.011626654
14, 0.013922435
14, 0.011373144
14, 0.013740777
14, 0.011321273
14, 0.01326452
14, 0.011125684
14, 0.013140928
15, 0.014448328
15, 0.01433893
15, 0.0148046035
15, 0.014953164
15, 0.013850982
15, 0.014254627
15, 0.014027982
15, 0.014689317
16, 0.013746628
16, 0.013344432
16, 0.014496515
16, 0.01389465
16, 0.014009612
16, 0.01374301
16, 0.014690646
16, 0.014224498
17, 0.012969953
17, 0.012070542
17, 0.013070933
17, 0.012129324
17, 0.013451752
17, 0.012615321
17, 0.0135066705
17, 0.012628092
18, 0.01166184
18, 0.011295065
18, 0.011450537
18, 0.011162271
18, 0.0121513195
18, 0.011510301
18, 0.011993535
18, 0.01143103
19, 0.011288669
19, 0.011496637
19, 0.011223314
19, 0.011511109
19, 0.011426664
19, 0.011926796
19, 0.0112771755
19, 0.01185704
20, 0.012033032
20, 0.01143377
20, 0.011334815
20, 0.010308789
20, 0.01327295
20, 0.012512448
20, 0.012241064
20, 0.011054043
21, 0.012466219
21, 0.015382747
21, 0.011493549
21, 0.013806651
21, 0.012730787
21, 0.015306655
21, 0.011598451
21, 0.01357056
22, 0.01614546
22, 0.015359602
22, 0.014079923
22, 0.014167142
22, 0.015772207
22, 0.01475984
22, 0.014082422
22, 0.01394288
23, 0.011127068
23, 0.011101322
23, 0.011312617
23, 0.010936764
23, 0.01147977
23, 0.010752603
23, 0.011433046
23, 0.010356442
24, 0.010924532
24, 0.010353367
24, 0.010870994
24, 0.010643846
24, 0.011275487
24, 0.011523078
24, 0.011134676
24, 0.011726944
25, 0.010838036
25, 0.0120309545
25, 0.010868431
25, 0.011622628
25, 0.01120734
25, 0.011775015
25, 0.010970193
25, 0.011099379
26, 0.013407585
26, 0.015526713
26, 0.012638958
26, 0.01481271
26, 0.012706964
26, 0.014697542
26, 0.01208724
26, 0.014132855
27, 0.015360055
27, 0.013742062
27, 0.014693953
27, 0.013212493
27, 0.014777465
27, 0.01325582
27, 0.0142538715
27, 0.01286843
28, 0.012910332
28, 0.013138954
28, 0.0135144405
28, 0.013589908
28, 0.01256516
28, 0.012983871
28, 0.013298051
28, 0.013563621
29, 0.01314731
29, 0.012437887
29, 0.01378038
29, 0.0134686055
29, 0.013231607
29, 0.012855972
29, 0.013690989
29, 0.013713061
30, 0.012286102
30, 0.013109736
30, 0.0127732
30, 0.013423458
30, 0.012487761
30, 0.012573375
30, 0.013355774
30, 0.013267829
31, 0.012207476
