element_id,Strain
1, 0.0042333417
1, 0.0037295474
1, 0.004212271
1, 0.003731505
1, 0.0039430773
1, 0.003554571
1, 0.0039814617
1, 0.0036159533
2, 0.003076604
2, 0.002533328
2, 0.0030926075
2, 0.002554965
2, 0.003021206
2, 0.0024800634
2, 0.0030412169
2, 0.0025057057
3, 0.0020246576
3, 0.0020084023
3, 0.0022169575
3, 0.0022392552
3, 0.0019611057
3, 0.0019734679
3, 0.0021765328
3, 0.0022274582
4, 0.0019045357
4, 0.0018195536
4, 0.0021414931
4, 0.002101114
4, 0.0018923827
4, 0.0018789662
4, 0.0020773392
4, 0.0021085364
5, 0.0020042337
5, 0.0021640742
5, 0.0020902078
5, 0.0022315604
5, 0.0020439194
5, 0.0021707555
5, 0.0021300882
5, 0.0022384361
6, 0.002297338
6, 0.0022724336
6, 0.002274122
6, 0.00220837
6, 0.0023037547
6, 0.0023109333
6, 0.0023028348
6, 0.0022691656
7, 0.002160437
7, 0.002057476
7, 0.0021599575
7, 0.0020297368
7, 0.0022461244
7, 0.0022052766
7, 0.002265189
7, 0.0021970777
8, 0.0026812814
8, 0.003625032
8, 0.0026027656
8, 0.0033721048
8, 0.0030791527
8, 0.0042437124
8, 0.0029418804
8, 0.003931854
9, 0.0056133945
9, 0.0070080864
9, 0.0048124143
9, 0.0062208967
9, 0.0058788946
9, 0.00654844
9, 0.0053603104
9, 0.0060441913
10, 0.0069276276
10, 0.0062040365
10, 0.006580502
10, 0.005955166
10, 0.0064771506
10, 0.006206711
10, 0.005935789
10, 0.0057633338
11, 0.005052883
11, 0.004554522
11, 0.005130201
11, 0.0046688397
11, 0.0050529875
11, 0.0043270546
11, 0.00502437
11, 0.0043355315
12, 0.0037255962
12, 0.0032881906
12, 0.0034975123
12, 0.0030602028
12, 0.0037652634
12, 0.003395691
12, 0.0035441879
12, 0.0031746973
13, 0.0027111352
13, 0.0025032316
13, 0.0027104758
13, 0.0026213427
13, 0.002872388
13, 0.0026831343
13, 0.0029366189
13, 0.0028661776
14, 0.0032273869
14, 0.004435448
14, 0.0032978875
14, 0.004494758
14, 0.0033628887
14, 0.0045210733
14, 0.0033958964
14, 0.0045428453
15, 0.0048658424
15, 0.004575449
15, 0.005096114
15, 0.0048886794
15, 0.004805374
15, 0.004468052
15, 0.005014031
15, 0.0047596344
16, 0.003952062
16, 0.0035651182
16, 0.0043006437
16, 0.003884703
16, 0.0039448384
16, 0.0037486237
16, 0.0042990446
16, 0.0040738797
17, 0.003066413
17, 0.002572524
17, 0.003282138
17, 0.0027589616
17, 0.0033371816
17, 0.0028325252
17, 0.0035344304
17, 0.003000491
18, 0.0023441971
18, 0.0023747303
18, 0.0024174051
18, 0.002461473
18, 0.002605248
18, 0.0025809153
18, 0.0027040762
18, 0.0026932764
19, 0.002368153
19, 0.0020355086
19, 0.0025227438
19, 0.0022258377
19, 0.0026850498
19, 0.0026863527
19, 0.0027804459
19, 0.002817553
20, 0.0022890074
20, 0.002353811
20, 0.0020947075
