element_id,Strain
1, 0.0025357143
1, 0.002469616
1, 0.0025364142
1, 0.0024758547
1, 0.002552269
1, 0.002501999
1, 0.0025626535
1, 0.0025179228
2, 0.0022209415
2, 0.0019740202
2, 0.002264006
2, 0.0019865052
2, 0.002241744
2, 0.0019696364
2, 0.0022712548
2, 0.0019685708
3, 0.0017990165
3, 0.0018304151
3, 0.0018075028
3, 0.0018518224
3, 0.0017857817
3, 0.0018539558
3, 0.0018072617
3, 0.0018883587
4, 0.0017957583
4, 0.00176238
4, 0.0018114882
4, 0.0018005475
4, 0.0018497388
4, 0.0018322001
4, 0.0018487619
4, 0.0018536615
5, 0.0019184593
5, 0.0021141688
5, 0.0018431367
5, 0.0020159506
5, 0.0019702173
5, 0.0021586309
5, 0.0018888748
5, 0.0020543926
6, 0.0022402683
6, 0.0021602418
6, 0.002138833
6, 0.0020582795
6, 0.0022675612
6, 0.002171966
6, 0.0021737856
6, 0.002077663
7, 0.0021061895
7, 0.0021284947
7, 0.00202972
7, 0.0020273405
7, 0.0020774698
7, 0.0020776303
7, 0.0020167017
7, 0.0019921833
8, 0.002113636
8, 0.0022139687
8, 0.0020008925
8, 0.0020995142
8, 0.002208892
8, 0.002384397
8, 0.0020877502
8, 0.0022615362
9, 0.0024447588
9, 0.0024288937
9, 0.0023370027
9, 0.0023992578
9, 0.0025029243
9, 0.002305845
9, 0.0023967924
9, 0.0022778409
10, 0.0025098063
10, 0.0026324342
10, 0.0024255803
10, 0.0025077008
10, 0.0023143457
10, 0.0025855666
10, 0.0022699023
10, 0.002500632
11, 0.0025356177
11, 0.0025057285
11, 0.002547573
11, 0.0025194727
11, 0.0026297674
11, 0.0025590118
11, 0.0025988217
11, 0.0025298658
12, 0.0023473648
12, 0.0023202798
12, 0.0022322251
12, 0.0021838977
12, 0.0023134178
12, 0.0022834272
12, 0.002184326
12, 0.0021330938
13, 0.0020735587
13, 0.001777172
13, 0.0019730593
13, 0.0017109285
13, 0.0020140086
13, 0.001704075
13, 0.001962974
13, 0.0016872848
14, 0.001617302
14, 0.0016976881
14, 0.0016305571
14, 0.0016842771
14, 0.0015671116
14, 0.0017372493
14, 0.0015529955
14, 0.0016964639
15, 0.0017542741
15, 0.0018253182
15, 0.0017436905
15, 0.0018225691
15, 0.0018037149
15, 0.0018749856
15, 0.0017830459
15, 0.0018621493
16, 0.001811702
16, 0.0017976748
16, 0.001852568
16, 0.0018257727
16, 0.0018710057
16, 0.0018789622
16, 0.0019238523
16, 0.0019190403
17, 0.001866144
17, 0.0018459465
17, 0.0018742975
17, 0.0018579862
17, 0.0019701994
17, 0.0019706113
17, 0.0019829867
17, 0.0019872847
18, 0.0018985481
18, 0.0018970846
18, 0.0018229369
18, 0.0018361794
18, 0.0019966746
18, 0.0019419277
18, 0.0019286391
18, 0.0018886011
19, 0.0018338889
19, 0.0019211007
19, 0.0018044645
19, 0.0019053927
19, 0.0018951747
19, 0.0018702737
19, 0.0018274043
19, 0.0018162213
20, 0.0019594866
20, 0.0018000511
20, 0.0018384423
20, 0.0016716234
20, 0.0018542152
20, 0.0017846115
20, 0.001731605
20, 0.0016546102
21, 0.0018522606
21, 0.0021522194
21, 0.001817015
21, 0.0020381166
21, 0.001878999
21, 0.002215776
21, 0.001853731
21, 0.0021116477
22, 0.0023958983
22, 0.002375882
22, 0.0021737148
22, 0.0022262502
22, 0.002432354
22, 0.00233498
22, 0.0022178907
22, 0.0021930772
23, 0.0010945748
23, 0.0010196202
23, 0.0009772383
23, 0.0009007212
23, 0.0011337957
23, 0.0010625998
23, 0.0009944653
23, 0.0009217089
24, 0.0010560611
24, 0.0011914194
24, 0.00095363206
24, 0.0011047228
24, 0.0011984669
24, 0.001415937
24, 0.0010687361
24, 0.001301931
25, 0.0014433111
25, 0.0015929358
25, 0.0013717988
25, 0.0015124666
25, 0.0015461701
25, 0.0015599625
25, 0.0014690299
25, 0.0014738739
26, 0.0016834064
26, 0.0017706233
26, 0.001583543
26, 0.0016848792
26, 0.0016154591
26, 0.0017067522
26, 0.0015446853
26, 0.001650103
27, 0.0016262792
27, 0.0014578851
27, 0.0015877965
27, 0.0014401946
27, 0.0015832639
27, 0.0014122565
27, 0.0015429182
27, 0.0013927025
28, 0.0013450426
28, 0.0013095107
28, 0.0013893639
28, 0.0013487195
28, 0.0013423647
28, 0.0013912824
28, 0.0014280865
28, 0.001471891
29, 0.0014113833
29, 0.0014973113
29, 0.0014674205
29, 0.0015278506
29, 0.0014926458
29, 0.0015805407
29, 0.0015311167
29, 0.0015935124
30, 0.0014839119
30, 0.0014945474
30, 0.0014833314
30, 0.0014871213
30, 0.001567417
30, 0.001510714
30, 0.0015764897
30, 0.001512941
31, 0.0014640056
31, 0.0012961767
31, 0.0012954704
31, 0.0011445099
31, 0.0014922877
31, 0.0014052946
31, 0.0013422322
31, 0.0012720969
32, 0.0012261401
32, 0.0012866596
32, 0.0012263044
32, 0.0012856246
32, 0.0013301392
32, 0.0013063082
32, 0.0013065115
32, 0.0012814825
33, 0.0012867843
33, 0.0012041914
33, 0.0012071577
33, 0.0011062038
33, 0.0012807653
33, 0.0012311118
33, 0.0012005989
33, 0.0011325821
34, 0.0018543699
34, 0.0018376743
34, 0.0018743128
34, 0.0018646343
34, 0.0018556163
34, 0.0017837943
34, 0.0018898369
34, 0.0018250294
35, 0.0018458277
35, 0.0019109618
35, 0.0018479539
35, 0.0018911164
35, 0.0018022353
35, 0.0018115778
35, 0.0017916951
35, 0.0017790667
36, 0.00181351
36, 0.0016240281
36, 0.0017932507
36, 0.0016188904
36, 0.0016463599
36, 0.0014794758
36, 0.0016592564
36, 0.001507487
37, 0.0013555083
37, 0.0012835449
37, 0.0013214505
37, 0.0011980588
37, 0.0012798145
37, 0.0012038683
37, 0.0012826826
37, 0.0011553051
38, 0.0013053183
38, 0.0014315502
38, 0.0012249883
38, 0.001332982
38, 0.0011943451
38, 0.0013481443
38, 0.0011018873
38, 0.0012374474
39, 0.0016677353
39, 0.0018116576
39, 0.0015068387
39, 0.0017113511
39, 0.0016523189
39, 0.0017600729
39, 0.001476685
39, 0.0016450366
40, 0.0019866785
