element_id,Strain
1, 0.020201564
1, 0.019015951
1, 0.020212337
1, 0.019099174
1, 0.019654164
1, 0.018543154
1, 0.019825857
1, 0.018787166
2, 0.017341597
2, 0.01565444
2, 0.017407624
2, 0.015572634
2, 0.016854767
2, 0.015274017
2, 0.016948523
2, 0.015219963
3, 0.014343574
3, 0.01435416
3, 0.014611054
3, 0.014982888
3, 0.014021988
3, 0.014161663
3, 0.014220613
3, 0.014721272
4, 0.013943224
4, 0.013687165
4, 0.014459252
4, 0.014352227
4, 0.013963329
4, 0.013725728
4, 0.014353574
4, 0.014265022
5, 0.014449158
5, 0.015493475
5, 0.014626394
5, 0.0154329045
5, 0.014357787
5, 0.015430479
5, 0.014597509
5, 0.015432516
6, 0.016091062
6, 0.015885143
6, 0.0157352
6, 0.015382685
6, 0.016055124
6, 0.015944837
6, 0.015771668
6, 0.01551477
7, 0.01557288
7, 0.01504015
7, 0.0152135985
7, 0.014563452
7, 0.015569576
7, 0.0149141755
7, 0.015328279
7, 0.014555401
8, 0.01587617
8, 0.017921941
8, 0.015269473
8, 0.01695428
8, 0.016510231
8, 0.019233245
8, 0.015444996
8, 0.017805018
9, 0.021964878
9, 0.024441427
9, 0.020422678
9, 0.023193484
9, 0.022608269
9, 0.023434244
9, 0.021480884
9, 0.022602577
10, 0.025449729
10, 0.02580339
10, 0.023898527
10, 0.024514051
10, 0.024399228
10, 0.025911033
10, 0.022963153
10, 0.024736358
11, 0.023186384
11, 0.021128189
11, 0.023408202
11, 0.021219375
11, 0.023528267
11, 0.020956837
11, 0.023425153
11, 0.02072465
12, 0.018415892
12, 0.017954439
12, 0.017597001
12, 0.016801164
12, 0.01785654
12, 0.017388389
12, 0.016962962
12, 0.016160572
13, 0.016140519
13, 0.013821091
13, 0.015415279
13, 0.013306683
13, 0.015659064
13, 0.013649479
13, 0.015501299
13, 0.013701353
14, 0.014175595
14, 0.017243758
14, 0.013850369
14, 0.017063506
14, 0.013626951
14, 0.016360529
14, 0.013304004
14, 0.016182432
15, 0.018030936
15, 0.017711723
15, 0.018230861
15, 0.018175967
15, 0.017306402
15, 0.01769278
15, 0.017340235
15, 0.017990649
16, 0.01683736
16, 0.016278174
16, 0.017514646
16, 0.01683756
16, 0.01724602
16, 0.016730592
16, 0.017873108
16, 0.017239835
17, 0.015703427
17, 0.014671423
17, 0.015947208
17, 0.014806596
17, 0.016196024
17, 0.01525563
17, 0.01637999
17, 0.01533107
18, 0.014183434
18, 0.013491018
18, 0.013906597
18, 0.013302445
18, 0.014752305
18, 0.013812945
18, 0.014503863
18, 0.013652794
19, 0.013531153
19, 0.013932935
19, 0.013417166
19, 0.013955801
19, 0.013622351
19, 0.014336195
19, 0.013469618
19, 0.014320177
20, 0.014738781
20, 0.0139464885
20, 0.013740206
20, 0.012270262
20, 0.01595778
20, 0.014925838
20, 0.014647577
20, 0.012938306
21, 0.014865717
21, 0.018533964
21, 0.013656234
21, 0.016684439
21, 0.015296645
21, 0.018573998
21, 0.01367036
21, 0.016305592
22, 0.01962322
22, 0.01866255
22, 0.016966963
22, 0.017046036
22, 0.019171199
22, 0.017967947
22, 0.017042296
22, 0.016878458
23, 0.01440469
23, 0.014393781
23, 0.014934617
23, 0.014481701
23, 0.014549066
23, 0.0137475105
23, 0.014749778
23, 0.013507325
24, 0.013959938
24, 0.012788804
24, 0.014071077
24, 0.013295324
24, 0.014366158
24, 0.014398024
24, 0.014295362
24, 0.014723703
25, 0.013268534
25, 0.014916624
25, 0.0132697
25, 0.014287986
25, 0.013830993
25, 0.014601282
25, 0.013575385
25, 0.013716418
26, 0.016200393
26, 0.018349443
26, 0.015409651
26, 0.017677044
26, 0.015496579
26, 0.017649418
26, 0.014824487
26, 0.017095877
27, 0.018248186
27, 0.016700977
