element_id,Stress
1, -238.31842
1, -237.4936
1, -268.70334
1, -270.67288
1, -240.64677
1, -231.47491
1, -265.68698
1, -272.73074
2, -213.68422
2, -208.62553
2, -242.83022
2, -237.07445
2, -206.7709
2, -205.30519
2, -232.0047
2, -234.0837
3, -197.8557
3, -184.90683
3, -283.53308
3, -220.90625
3, -224.99252
3, -194.5568
3, -277.04233
3, -250.05693
4, -203.34177
4, -181.02522
4, -222.59076
4, -194.68657
4, -192.37874
4, -170.99654
4, -213.69531
4, -192.35965
5, -201.46118
5, -215.10884
5, -199.49022
5, -212.07127
5, -211.17793
5, -220.02206
5, -192.4499
5, -203.50818
6, -279.66324
6, -298.3938
6, -267.6782
6, -266.0881
6, -270.77823
6, -276.95346
6, -249.71419
6, -235.41925
7, -293.9517
7, -264.78787
7, -289.507
7, -268.38824
7, -276.36786
7, -237.7705
7, -272.88156
7, -242.28157
8, -281.32928
8, -330.44955
8, -318.80215
8, -374.30353
8, -354.2321
8, -380.8006
8, -342.8301
8, -389.819
9, -199.9468
9, -171.629
9, -202.8328
9, -201.35255
9, -204.64413
9, -180.1255
9, -206.65907
9, -205.72467
10, -258.66785
10, -285.48386
10, -268.06104
10, -287.2529
10, -288.46512
10, -290.36026
10, -288.18646
10, -291.94742
11, -247.73708
11, -259.0306
11, -258.19177
11, -282.1287
11, -256.79706
11, -254.40033
11, -260.1471
11, -276.81827
12, -279.14206
12, -269.9878
12, -279.46945
12, -276.10736
12, -269.69974
12, -268.17874
12, -271.22534
12, -273.42203
13, -201.45938
13, -200.02402
13, -222.11713
13, -217.11974
13, -198.55818
13, -193.16275
13, -226.56451
13, -223.65546
14, -216.10799
14, -223.3886
14, -214.11528
14, -222.62909
14, -212.09735
14, -218.75618
14, -213.51343
14, -219.46367
15, -245.91208
15, -234.0311
15, -251.09976
15, -248.47363
15, -229.62175
15, -221.51358
15, -244.08336
15, -236.56473
16, -169.97229
16, -165.22672
16, -199.05754
16, -195.90813
16, -165.11687
16, -157.1371
16, -188.52563
16, -192.72208
17, -292.64786
17, -288.17416
17, -322.96103
17, -319.11267
17, -286.2033
17, -276.48483
17, -313.7418
17, -306.99026
18, -318.89832
18, -299.4534
18, -304.3634
18, -287.56253
18, -320.3181
18, -280.4601
18, -299.7288
18, -273.1492
19, -305.51553
19, -283.24762
19, -310.8905
19, -282.0989
19, -301.0201
19, -278.1316
19, -295.05917
19, -273.3646
20, -293.81073
20, -278.731
20, -292.74423
20, -230.22664
20, -300.9565
20, -288.2622
20, -300.5553
20, -227.82793
21, -104.450485
21, -197.00713
21, -219.3124
21, -261.9755
21, -200.83388
21, -232.622
21, -183.75734
21, -259.82544
22, -296.99234
22, -298.75314
22, -292.8235
22, -268.36783
22, -291.6696
22, -284.7741
22, -289.5741
22, -281.08972
23, -347.0796
23, -357.11343
23, -338.57175
23, -352.29858
23, -350.22214
23, -359.87872
23, -337.9544
23, -345.66565
24, -169.32298
24, -133.61897
24, -145.34222
24, -122.27461
24, -173.58089
24, -156.50656
24, -172.12581
24, -151.01482
25, -353.30188
25, -347.289
25, -336.0888
25, -330.52402
25, -350.5884
25, -329.74063
25, -331.39877
25, -320.50146
26, -213.85275
26, -256.3144
26, -181.80646
26, -192.63852
26, -234.86322
26, -238.47787
26, -215.9333
26, -220.87627
27, -200.61461
27, -185.71332
27, -200.26964
27, -174.47853
27, -190.37166
27, -172.96904
27, -179.85551
27, -169.11977
28, -214.73322
28, -245.49368
28, -236.60098
28, -244.74628
28, -192.42438
28, -226.03241
28, -218.88281
28, -238.6963
29, -353.40414
29, -323.0616
29, -376.78046
29, -327.22308
29, -335.13904
29, -327.99548
29, -336.59662
29, -341.11456
30, -309.18457
30, -310.85263
30, -308.66296
30, -314.6408
30, -312.32773
30, -305.7667
30, -320.55576
30, -327.65356
31, -322.43558
31, -300.8673
31, -254.7812
31, -204.3344
31, -287.28223
31, -259.32675
31, -247.59256
31, -241.63966
32, -228.1121
32, -256.13837
32, -212.48865
32, -254.9296
32, -243.19267
32, -261.66904
32, -238.95088
32, -253.93872
33, -325.33304
33, -320.66174
33, -358.8556
33, -348.9586
33, -336.92953
33, -347.11215
33, -371.3117
33, -366.1797
34, -296.11316
34, -282.92786
34, -301.74084
34, -289.5978
34, -294.86752
34, -284.87762
34, -303.8326
34, -292.9578
35, -263.95685
35, -272.60507
35, -259.16022
35, -269.77274
35, -258.51907
35, -266.2906
35, -248.02142
35, -253.65356
36, -290.30673
36, -292.91614
36, -299.234
36, -302.08444
36, -283.04224
36, -290.1443
36, -292.475
36, -298.25406
37, -228.22627
37, -266.28372
37, -253.56866
37, -276.42096
37, -260.84555
37, -257.09518
37, -258.3465
37, -263.38333
38, -190.51945
38, -198.64636
38, -191.09038
38, -183.60149
38, -173.40585
38, -200.14365
38, -198.98827
38, -200.42377
39, -192.12494
39, -198.71573
39, -186.62973
39, -183.45497
39, -195.89346
39, -195.72539
39, -188.01797
39, -186.68466
40, -313.26978
40, -318.15305
40, -307.6344
40, -313.03342
40, -311.7153
40, -319.86295
40, -307.91122
40, -313.90994
41, -349.0707
41, -341.43066
41, -343.8266
41, -340.27252
41, -353.6627
41, -347.40186
41, -346.39664
41, -341.80914
42, -288.3602
42, -292.49884
42, -296.43323
42, -299.62637
42, -286.72055
42, -290.89926
42, -291.5678
42, -288.21246
43, -261.2294
43, -250.55069
43, -252.82571
43, -255.57637
43, -253.41542
43, -252.58902
43, -243.2009
43, -250.22533
44, -315.78888
44, -323.5955
44, -313.27625
44, -313.8505
44, -314.29837
44, -322.10632
44, -304.72644
44, -313.08838
45, -305.4066
45, -298.6254
45, -311.85535
45, -311.64926
45, -307.7956
45, -306.7467
45, -315.5819
45, -314.43448
46, -314.87778
46, -326.42328
46, -301.8714
46, -319.82156
46, -315.7297
46, -322.05957
46, -289.24533
46, -301.669
47, -303.27
47, -299.16455
47, -302.97104
47, -295.49326
47, -296.55643
47, -296.5051
47, -297.18716
47, -293.7086
48, -281.05835
48, -237.36714
48, -280.4073
48, -240.17885
48, -282.53308
48, -268.7435
48, -283.09152
48, -270.98462
49, -243.51231
49, -255.69638
49, -217.26985
49, -252.74799
49, -258.3073
49, -261.28632
49, -260.2428
49, -263.9512
50, -170.85759
50, -234.35672
50, -209.56389
50, -229.80797
50, -180.54878
50, -227.1746
50, -192.7609
50, -209.52953
51, -275.43893
51, -278.02585
51, -272.5114
51, -276.81635
51, -264.88873
51, -274.98553
51, -266.5636
51, -275.10165
52, -319.42313
52, -324.665
52, -321.02396
52, -320.06467
52, -330.3918
52, -314.40817
52, -301.66974
52, -302.3541
53, -278.71994
53, -288.20135
53, -270.56155
53, -275.78784
53, -242.62048
53, -260.7289
53, -253.21564
53, -268.91785
54, -295.9375
54, -306.62363
54, -296.57028
54, -309.7817
54, -289.7576
54, -291.94073
54, -295.74365
54, -302.29352
55, -278.97403
55, -271.87317
55, -280.40744
55, -277.47147
55, -270.08588
55, -258.65952
55, -275.1759
55, -277.89746
56, -305.6673
56, -287.20398
56, -295.50186
56, -255.5127
56, -270.16412
56, -262.97797
56, -261.63144
56, -256.4085
57, -307.25482
57, -311.5157
57, -307.61832
57, -306.17615
57, -335.18234
57, -342.48773
57, -327.32928
57, -329.0404
58, -288.70932
58, -318.4935
58, -281.15225
58, -281.629
58, -298.03464
58, -317.87466
58, -255.19817
58, -221.43289
59, -274.2639
59, -276.146
59, -231.26462
59, -225.99474
59, -271.96503
59, -271.91672
59, -211.34174
59, -217.7497
60, -325.13235
60, -300.00223
60, -298.1482
60, -281.49512
60, -295.54602
60, -276.33194
60, -280.81967
60, -268.72308
61, -272.11832
61, -297.0244
61, -300.09055
61, -299.54553
61, -240.44804
61, -273.23914
61, -272.26556
61, -287.11493
62, -272.0647
62, -276.63373
62, -265.42746
62, -261.26135
62, -272.764
62, -281.22565
62, -263.0337
62, -270.4388
63, -285.77127
63, -286.85913
63, -298.77826
63, -308.88702
63, -259.75143
63, -270.758
63, -299.30185
63, -299.96906
64, -279.2459
64, -286.80142
64, -284.1269
64, -274.14032
64, -267.76135
64, -282.68652
64, -285.44174
64, -293.63504
65, -360.56216
65, -326.90222
65, -318.3776
65, -304.4234
65, -343.79297
65, -316.35062
65, -321.57962
65, -298.8352
66, -267.68607
66, -260.82727
66, -258.24515
66, -247.41904
66, -289.631
66, -255.98668
66, -266.01575
66, -215.38965
67, -274.1412
67, -277.24518
67, -282.22177
67, -284.1768
67, -290.66724
67, -294.07715
67, -300.0298
67, -296.0211
68, -252.23737
68, -259.14758
68, -253.53377
68, -255.24368
68, -253.077
68, -267.7058
68, -263.68765
68, -274.18262
69, -313.8712
69, -294.53497
69, -272.4628
69, -265.7403
69, -293.07526
69, -279.6937
69, -278.55283
69, -278.41467
70, -263.34692
70, -304.50723
70, -258.97345
70, -278.27945
70, -302.38623
70, -303.9651
70, -291.4824
70, -304.6125
71, -297.59528
71, -266.99493
71, -278.04672
71, -274.51138
71, -298.02603
71, -277.85495
71, -259.47116
71, -262.44754
72, -264.19766
72, -243.63475
72, -287.4136
72, -271.8531
72, -276.45773
72, -271.66446
72, -289.3495
72, -282.23315
73, -254.18196
73, -312.68408
73, -232.73822
73, -262.2094
73, -258.27393
73, -316.04733
73, -268.95117
73, -281.02338
74, -308.31024
74, -301.4885
74, -335.24356
74, -316.38553
74, -335.66876
74, -348.42654
74, -341.49658
74, -346.1336
75, -273.2146
75, -284.21786
75, -312.39468
75, -326.27682
75, -295.07855
75, -299.14612
75, -333.99344
75, -323.3642
76, -323.08752
76, -332.09445
76, -306.06033
76, -317.67664
76, -323.10562
76, -328.8023
76, -320.5188
76, -319.3581
77, -273.03116
77, -284.18524
77, -287.46234
77, -295.3149
77, -289.7103
77, -303.40283
77, -306.16217
77, -311.68454
78, -274.24692
78, -339.12598
78, -259.74426
78, -300.50174
78, -304.20145
78, -334.2268
78, -287.84927
78, -342.81567
79, -183.0542
79, -196.45416
79, -200.83028
79, -222.4673
79, -214.84822
79, -221.34053
79, -233.82495
79, -234.21242
80, -186.80397
80, -179.7019
80, -223.74484
80, -223.6881
80, -256.44083
80, -249.34857
80, -240.07333
80, -234.54698
81, -212.28752
81, -266.7162
81, -275.47482
81, -267.63614
81, -283.57785
81, -294.828
81, -295.7554
81, -298.22556
82, -340.3864
82, -309.14044
82, -338.6403
82, -319.65527
82, -332.75354
82, -282.79657
82, -332.50555
82, -314.3989
83, -302.3327
83, -312.73706
83, -297.2979
83, -291.96243
83, -297.96823
83, -307.13205
83, -303.57047
83, -312.44806
84, -244.62361
84, -248.87662
84, -312.949
84, -251.9941
84, -277.71448
84, -277.56357
84, -327.97495
84, -305.8321
85, -315.00412
85, -339.51138
85, -305.17395
85, -330.34967
85, -320.33487
85, -330.1789
85, -323.70563
85, -325.98093
86, -316.57114
86, -336.10672
86, -301.40332
86, -316.84793
86, -331.39536
86, -330.24942
86, -328.22925
86, -319.74182
87, -328.49057
87, -326.47165
87, -317.92627
87, -328.90134
87, -332.41452
87, -341.0191
87, -331.7805
87, -362.85236
88, -325.4743
88, -309.1884
88, -310.72928
88, -319.71848
88, -330.68054
88, -321.64474
88, -325.6285
88, -333.53506
89, -241.66096
89, -275.59177
89, -262.66193
89, -287.021
89, -257.18408
89, -285.28342
89, -272.78342
89, -306.47083
90, -236.02786
90, -242.39024
90, -243.50714
90, -242.90646
90, -236.63402
90, -239.96077
90, -234.01172
90, -239.0782
91, -293.8643
91, -264.83698
91, -266.65
91, -241.86404
91, -306.40616
91, -268.7702
91, -271.81796
91, -204.7152
92, -237.54668
92, -284.6485
92, -209.6764
92, -270.06027
92, -255.0836
92, -276.11707
92, -202.69753
92, -231.0019
93, -322.922
93, -306.92886
93, -315.39542
93, -294.80545
93, -314.0902
93, -325.52917
93, -308.90112
93, -320.93384
94, -276.52863
94, -303.29773
94, -313.79236
94, -308.46918
94, -328.64978
94, -328.15546
94, -285.27887
94, -290.8152
95, -307.6539
95, -289.8399
95, -284.68045
95, -266.53436
95, -308.78317
95, -307.88574
95, -276.37677
95, -275.63925
96, -271.7478
96, -230.64966
96, -261.4747
96, -233.72614
96, -318.2363
96, -278.12445
96, -305.52197
96, -301.03888
97, -273.55438
97, -294.24512
97, -321.57367
97, -319.74023
97, -302.51
97, -300.40228
97, -319.24335
97, -310.01263
98, -242.24901
98, -260.59506
98, -297.3102
98, -307.99393
98, -287.4396
98, -291.36905
98, -325.9773
98, -331.3491
99, -269.80664
99, -271.77554
99, -307.7518
99, -316.3211
99, -276.88852
99, -279.2261
99, -315.99817
99, -322.71588
100, -288.43524
100, -281.16846
100, -275.05203
100, -254.25792
100, -278.67233
100, -269.5392
100, -272.40576
100, -264.4948
101, -279.66953
101, -292.21893
101, -271.80505
101, -291.66983
101, -288.45242
101, -285.73758
101, -280.76492
101, -282.6316
102, -284.34393
102, -257.42938
102, -281.49307
102, -286.34277
102, -273.53442
102, -265.10703
102, -296.43866
102, -289.23297
103, -212.6195
103, -233.85904
103, -200.51468
103, -222.10667
103, -180.43387
103, -191.43091
103, -202.07104
103, -202.98479
104, -324.98727
104, -366.11462
104, -323.49005
104, -345.27716
104, -319.32617
104, -346.8357
104, -326.38223
104, -334.95428
105, -270.9419
105, -288.04254
105, -246.1548
105, -268.40436
105, -259.75262
105, -254.45197
105, -215.06638
105, -222.62997
106, -353.10104
106, -362.52948
106, -352.5234
106, -359.1015
106, -334.46332
106, -348.45413
106, -328.62097
106, -333.02872
107, -308.94684
107, -309.54373
107, -297.08383
107, -302.0915
107, -294.6885
107, -301.54404
107, -294.65878
107, -298.30502
108, -248.16273
108, -216.39517
108, -262.97333
108, -229.90648
108, -272.24
108, -248.60097
108, -288.8356
108, -258.55115
109, -258.6193
109, -236.68002
109, -270.67838
109, -254.11179
109, -274.06296
109, -245.917
109, -267.16812
109, -248.18765
110, -268.25458
110, -282.07416
110, -236.819
110, -248.96309
110, -276.37958
110, -273.5699
110, -256.21805
110, -251.39986
111, -233.80746
111, -235.88051
111, -251.66403
111, -270.0094
111, -240.11009
111, -235.1465
111, -256.1925
111, -254.79047
112, -247.37595
112, -242.66205
112, -264.54132
112, -251.03233
112, -241.7119
112, -247.18782
112, -260.26547
112, -253.44714
113, -244.51065
113, -253.391
113, -230.75922
113, -216.55246
113, -251.64365
113, -247.1453
113, -244.28767
113, -220.13867
114, -199.84145
114, -213.93694
114, -206.42383
114, -207.41101
114, -222.25952
114, -234.66383
114, -194.20366
114, -207.77823
115, -220.38074
115, -221.69559
115, -252.11377
115, -258.37814
115, -241.50586
115, -238.84288
115, -255.47379
115, -262.90598
116, -281.1443
116, -287.7655
116, -260.14722
116, -270.6912
116, -276.2528
116, -275.67776
116, -251.69087
116, -256.95453
117, -321.966
117, -335.559
117, -290.7062
117, -310.8254
117, -293.6667
117, -307.4951
117, -264.95932
117, -254.46793
118, -321.58975
118, -381.4345
118, -270.15344
118, -329.26242
118, -352.01163
118, -423.31787
118, -343.88586
118, -392.18115
119, -202.06184
119, -191.08537
119, -197.64172
119, -196.19035
119, -209.37099
119, -203.42851
119, -202.91675
119, -200.08395
120, -292.9588
120, -294.78003
120, -297.2952
120, -298.1714
120, -290.5695
120, -296.41544
120, -295.2237
120, -301.49988
121, -239.82513
121, -245.09262
121, -245.16231
121, -266.40784
121, -259.44955
121, -258.39703
121, -262.87262
121, -275.41507
122, -299.59967
122, -297.66486
122, -327.24008
122, -322.5383
122, -295.6183
122, -281.3205
122, -302.41998
122, -301.9155
123, -244.11232
123, -247.28735
123, -272.42166
123, -283.6107
123, -251.53651
123, -253.42032
123, -267.64853
123, -264.5149
124, -253.25931
124, -260.6341
124, -357.83188
124, -314.34497
124, -318.6499
124, -274.02728
124, -372.61517
124, -351.50253
125, -225.33965
125, -215.3619
125, -225.58302
125, -226.2962
125, -232.6009
125, -239.88101
125, -294.09283
125, -286.25436
126, -244.0615
126, -243.12144
126, -224.8406
126, -221.34283
126, -259.0273
126, -255.56387
126, -249.93637
126, -243.06728
127, -244.88437
127, -256.3763
127, -227.6755
127, -246.78252
127, -264.98492
127, -272.0959
127, -245.85403
127, -250.73941
128, -318.9214
128, -308.4777
128, -326.6141
128, -322.82394
128, -286.17612
128, -315.39056
128, -301.76572
128, -353.8223
129, -228.64793
129, -274.60434
129, -258.1024
129, -267.77893
129, -273.30164
129, -279.34772
129, -273.8135
129, -277.65057
130, -120.387665
130, -118.47511
130, -134.45454
130, -151.68164
130, -127.840195
130, -128.9299
130, -143.93738
130, -152.20686
131, -189.71721
131, -187.82466
131, -184.22514
131, -180.33945
131, -151.72699
131, -119.964745
131, -164.42133
131, -150.68675
132, -247.56514
132, -264.5051
132, -265.75827
132, -282.88156
132, -218.534
132, -235.80292
132, -217.95529
132, -234.44054
133, -277.13687
133, -272.54666
133, -264.02832
133, -264.70395
133, -267.59845
133, -260.1995
133, -258.56335
133, -255.64105
134, -260.54224
134, -259.15747
134, -316.03287
134, -303.56805
134, -256.32373
134, -248.6259
134, -302.10266
134, -273.11703
135, -218.14572
135, -228.95233
135, -207.57916
135, -217.19675
135, -213.98335
135, -224.88345
135, -210.29774
135, -222.46707
136, -177.84866
136, -190.04097
136, -163.88708
136, -193.51326
136, -194.72003
136, -196.83969
136, -183.28217
136, -187.87256
137, -128.85254
137, -126.06416
137, -134.77328
137, -161.18993
137, -121.029526
137, -119.21697
137, -116.3415
137, -170.61842
138, -266.97272
138, -290.26282
138, -299.91266
138, -284.21896
138, -244.35207
138, -261.55194
138, -223.14085
138, -213.28366
139, -382.83453
139, -374.7713
139, -351.80048
139, -349.5313
139, -402.77893
139, -448.72455
139, -373.88394
139, -425.39664
140, -240.78061
140, -234.6464
140, -241.00551
140, -234.65048
140, -241.72508
140, -233.40286
140, -240.97069
140, -238.00778
141, -167.98125
141, -166.67073
141, -181.16461
141, -177.53464
141, -177.83813
141, -170.84071
141, -190.87712
141, -188.76227
142, -199.13426
142, -165.87994
142, -195.65005
142, -177.64978
142, -192.04369
142, -165.79726
142, -184.59323
142, -165.71326
143, -223.10042
143, -234.22025
143, -230.05318
143, -218.37155
143, -185.65846
143, -206.43706
143, -194.80194
143, -207.08443
144, -218.306
144, -221.4859
144, -164.59854
144, -190.49747
144, -171.95242
144, -209.50896
144, -149.06516
144, -187.11195
145, -334.96902
145, -327.28876
145, -321.75266
145, -332.5932
145, -337.70154
145, -335.16504
145, -328.4071
145, -340.9501
146, -251.46642
146, -248.12802
146, -233.62137
146, -247.46799
146, -255.09201
146, -252.03125
146, -270.07275
146, -267.39218
147, -97.7769
147, -168.60301
147, -106.86107
147, -166.55797
147, -115.88827
147, -168.29482
147, -100.15797
147, -162.21606
148, -130.07208
148, -142.60567
148, -153.5251
148, -163.04558
148, -141.5426
148, -149.416
148, -164.55298
148, -146.92242
149, -333.6105
149, -298.7392
149, -376.36142
149, -345.22516
149, -299.00696
149, -283.53925
149, -293.92075
149, -281.76627
150, -358.75363
150, -329.69577
150, -381.82828
150, -330.24716
150, -356.04636
150, -314.2727
150, -383.6696
150, -338.07907
151, -270.4137
151, -262.262
151, -276.29712
151, -295.5263
151, -295.70462
151, -284.79022
151, -256.7871
151, -279.28256
152, -219.43985
152, -176.84084
152, -194.2171
152, -177.6471
152, -202.08928
152, -159.77402
152, -243.01662
152, -253.91527
153, -199.83171
153, -148.15913
153, -170.15387
153, -196.78659
153, -175.7167
153, -118.825615
153, -192.30794
153, -183.50955
154, -158.48557
154, -174.38985
154, -139.887
154, -152.39435
154, -140.39836
154, -153.93842
154, -149.99643
154, -176.92802
155, -208.65952
155, -205.17485
155, -219.20265
155, -214.40228
155, -209.1067
155, -200.08714
155, -215.17603
155, -207.01552
156, -390.87613
156, -427.3748
156, -396.26498
156, -424.5355
156, -356.16302
156, -419.1066
156, -394.32007
156, -424.71326
157, -282.94336
157, -308.17154
157, -301.72128
157, -310.8332
157, -294.94092
157, -308.3673
157, -296.207
157, -303.89236
158, -259.88004
158, -249.95677
158, -264.19464
158, -262.70465
158, -249.86063
158, -234.15735
158, -260.57355
158, -270.5694
159, -199.05016
159, -195.50597
159, -238.2199
159, -221.54788
159, -209.33441
159, -214.02518
159, -232.65298
159, -200.00687
160, -230.59195
160, -214.03883
160, -207.8651
160, -187.3254
160, -239.40326
160, -209.45201
160, -232.08205
160, -224.44139
161, -350.5425
161, -329.58328
161, -351.72034
161, -360.3546
161, -375.65848
161, -348.2794
161, -330.0096
161, -317.69287
162, -318.73853
162, -307.0273
162, -308.61914
162, -301.99573
162, -315.8436
162, -301.59247
162, -307.8296
162, -297.38168
163, -253.32176
163, -258.8404
163, -255.56493
163, -255.64806
163, -258.78366
163, -261.24963
163, -253.85661
163, -257.15836
164, -194.63159
164, -200.27835
164, -200.73325
164, -196.6514
164, -197.54361
164, -206.9214
164, -198.46977
164, -201.99083
165, -259.9715
165, -270.79333
165, -248.47339
165, -257.52115
165, -263.91193
165, -274.82388
165, -256.56952
165, -262.63202
166, -277.2397
166, -281.59152
166, -290.14398
166, -289.87442
166, -271.83597
166, -280.03952
166, -282.43918
166, -286.90198
167, -292.77893
167, -293.26984
167, -291.32062
167, -280.77072
167, -293.29205
167, -291.3962
167, -295.7214
167, -289.6807
168, -266.34103
168, -265.19318
168, -256.31277
168, -258.7113
168, -264.00598
168, -264.63834
168, -253.25212
168, -258.0778
169, -294.98987
169, -288.07346
169, -294.75766
169, -286.68765
169, -293.84073
169, -287.9985
169, -295.53488
169, -287.46405
170, -260.44254
170, -250.08754
170, -253.63524
170, -248.22049
170, -256.96536
170, -212.73427
170, -240.17838
170, -222.38014
171, -204.82838
171, -208.41978
171, -221.49141
171, -234.8223
171, -244.6206
171, -236.1736
171, -244.43687
171, -239.90848
172, -319.4423
172, -312.44684
172, -319.13443
172, -306.90945
172, -313.09283
172, -306.75388
172, -310.762
172, -283.76358
173, -373.04123
173, -362.02292
173, -376.47433
173, -384.61884
173, -370.5557
173, -377.5111
173, -384.28802
173, -393.48175
174, -300.5354
174, -305.08252
174, -299.83633
174, -299.2596
174, -304.01974
174, -305.55597
174, -306.4178
174, -301.48453
175, -265.78165
175, -261.34216
175, -262.49408
175, -268.57812
175, -270.768
175, -266.18964
175, -268.99414
175, -268.77844
176, -227.06523
176, -221.29013
176, -239.76839
176, -247.19461
176, -224.16779
176, -222.47166
176, -234.45943
176, -238.14061
177, -303.56497
177, -302.9045
177, -316.65018
177, -320.35016
177, -339.6879
177, -337.2614
177, -350.2765
177, -359.0103
178, -208.78409
178, -212.60089
178, -211.75914
178, -217.69794
178, -228.74255
178, -225.19254
178, -183.04742
178, -216.31357
179, -274.93503
179, -283.99326
179, -271.02512
179, -263.38464
179, -297.8893
179, -306.1778
179, -292.45972
179, -259.3615
180, -268.8764
180, -268.0155
180, -252.8142
180, -257.8675
180, -270.55106
180, -263.60428
180, -257.05975
180, -258.19888
181, -288.7724
181, -263.79218
181, -310.75443
181, -282.8635
181, -233.45842
181, -180.4518
181, -298.4799
181, -246.64929
182, -234.67473
182, -253.19354
182, -281.00574
182, -291.09836
182, -207.98074
182, -209.31833
182, -268.04965
182, -263.43304
183, -284.32202
183, -264.4533
183, -284.49164
183, -284.99872
183, -214.4023
183, -240.68996
183, -280.7039
183, -285.6119
184, -257.1844
184, -265.7638
184, -244.13513
184, -251.87894
184, -283.47488
184, -287.33844
184, -281.64154
184, -289.45706
185, -266.7878
185, -265.90527
185, -253.39009
185, -261.22226
185, -290.43036
185, -300.06888
185, -284.3398
185, -291.51944
186, -258.02554
186, -251.60994
186, -236.16925
186, -225.07466
186, -262.77762
186, -257.59763
186, -258.54016
186, -246.71738
187, -298.25952
187, -273.94437
187, -281.69223
187, -270.84607
187, -285.17282
187, -281.68652
187, -275.1415
187, -283.53925
188, -276.7925
188, -278.37994
188, -283.26074
188, -286.92133
188, -275.99405
188, -278.78323
188, -291.9939
188, -293.48474
189, -223.97638
189, -249.16698
189, -250.94934
189, -266.40195
189, -233.59206
189, -260.26395
189, -249.3376
189, -270.325
190, -247.02571
190, -245.58913
190, -247.08012
190, -242.92451
190, -255.16072
190, -256.07013
190, -249.87302
190, -239.43965
191, -320.56223
191, -321.82288
191, -303.90808
191, -303.17227
191, -319.97214
191, -319.05386
191, -301.55917
191, -291.0098
192, -324.28604
192, -272.06775
192, -315.47668
192, -268.11884
192, -322.43204
192, -310.56046
192, -315.7403
192, -300.2916
193, -289.677
193, -324.94604
193, -288.58447
193, -321.61884
193, -325.3802
193, -340.05396
193, -301.50992
193, -318.28854
194, -237.3699
194, -269.27432
194, -229.54036
194, -244.38481
194, -250.97859
194, -260.01053
194, -234.95262
194, -229.25026
195, -245.0081
195, -254.72375
195, -219.02484
195, -249.79832
195, -251.79984
195, -257.31094
195, -222.00055
195, -245.6659
196, -221.0957
196, -201.82986
196, -233.55984
196, -252.84789
196, -241.73734
196, -234.71817
196, -258.36176
196, -256.99118
197, -275.41458
197, -274.8492
197, -301.90912
197, -308.71057
197, -278.8071
197, -285.1447
197, -299.81332
197, -311.8392
198, -295.3233
198, -296.05444
198, -301.96368
198, -302.42715
198, -303.43542
198, -302.43057
198, -323.9258
198, -317.35574
199, -259.23392
199, -272.90067
199, -256.65494
199, -269.9925
199, -254.06862
199, -268.9612
199, -250.3511
199, -249.68729
200, -277.18808
200, -275.89294
200, -276.38733
200, -273.0086
200, -259.9612
200, -265.70755
200, -246.69164
200, -249.58066
201, -273.43454
201, -289.27167
201, -240.85535
201, -251.13786
201, -285.24738
201, -287.49097
201, -254.67543
201, -257.7855
202, -311.22034
202, -316.68723
202, -292.26144
202, -295.72855
202, -306.65674
202, -320.12695
202, -291.46887
202, -303.38458
203, -351.96204
203, -343.31747
203, -353.9119
203, -341.0502
203, -350.95734
203, -347.6183
