element_id,el_vol
1, 2.02972962881631e-08
2, 2.0292386437859e-08
3, 2.02916279334886e-08
4, 2.0291258451266e-08
5, 2.02936440985013e-08
6, 2.02986818464979e-08
7, 2.02978274188581e-08
8, 2.03013001964791e-08
9, 2.02922745273781e-08
10, 2.03014636213084e-08
11, 2.02967456175429e-08
12, 2.02998755582939e-08
13, 2.02924788084147e-08
14, 2.02979197894138e-08
15, 2.03009271615429e-08
16, 2.02994510090093e-08
17, 2.03017087585522e-08
18, 2.03008205801325e-08
19, 2.02983407859847e-08
20, 2.02881569322244e-08
21, 2.02963601481088e-08
22, 2.03004457688394e-08
23, 2.02960617201597e-08
24, 2.0291988533927e-08
25, 2.02987937569787e-08
26, 2.02988754693934e-08
27, 2.02969605567205e-08
28, 2.02968024609618e-08
29, 2.03059737913236e-08
30, 2.03030285916839e-08
31, 2.03006287335938e-08
32, 2.02977741281529e-08
33, 2.02978434060697e-08
34, 2.03092778150449e-08
35, 2.03049790314935e-08
36, 2.03058494463448e-08
37, 2.0299344427599e-08
38, 2.0298093872384e-08
39, 2.03022185729651e-08
40, 2.03101961915308e-08
41, 2.0311322401767e-08
42, 2.03094110418078e-08
43, 2.03092529460491e-08
44, 2.03132337617262e-08
45, 2.03033216905624e-08
46, 2.03047179070381e-08
47, 2.03017673783279e-08
48, 2.03022771927408e-08
49, 2.03031245149532e-08
50, 2.03024370648563e-08
51, 2.03028154288631e-08
52, 2.03080450233983e-08
53, 2.03041530255632e-08
54, 2.03023979850059e-08
55, 2.030106927009e-08
56, 2.03005008359014e-08
57, 2.02993675202379e-08
58, 2.02997600950994e-08
59, 2.03012859856244e-08
60, 2.03051992997416e-08
61, 2.03040659840781e-08
62, 2.03006624843738e-08
63, 2.03036520929345e-08
64, 2.0302827863361e-08
65, 2.03019201450161e-08
66, 2.029966417183e-08
67, 2.0301898828734e-08
68, 2.02997938458793e-08
69, 2.0302628911395e-08
70, 2.03020782407748e-08
71, 2.03020942279863e-08
72, 2.03030765533185e-08
73, 2.03010621646627e-08
74, 2.03013073019065e-08
75, 2.03032932688529e-08
76, 2.03037178181376e-08
77, 2.0301987646576e-08
78, 2.03017158639796e-08
79, 2.02999910214885e-08
80, 2.03030552370365e-08
81, 2.03047481051044e-08
82, 2.03028989176346e-08
83, 2.03010444010943e-08
84, 2.02972376683874e-08
85, 2.03016341515649e-08
86, 2.03035153134579e-08
87, 2.03044496771554e-08
88, 2.03010852573016e-08
89, 2.03035952495156e-08
90, 2.02998133858046e-08
91, 2.02991881081971e-08
92, 2.02983283514868e-08
93, 2.03076790938894e-08
94, 2.03064747239523e-08
95, 2.03013605926117e-08
96, 2.03030428025386e-08
97, 2.03031031986711e-08
98, 2.03020693589906e-08
99, 2.03023127198776e-08
100, 2.02922585401666e-08
101, 2.02959018480442e-08
102, 2.03045562585658e-08
103, 2.0296424096955e-08
104, 2.03037728851996e-08
105, 2.03044123736618e-08
106, 2.0310205073315e-08
107, 2.03035526169515e-08
108, 2.02916403679865e-08
109, 2.02909475888191e-08
110, 2.02920684699848e-08
111, 2.02961274453628e-08
112, 2.02968628570943e-08
113, 2.0298514868955e-08
114, 2.02917416203263e-08
115, 2.02955234840374e-08
116, 2.02926706549533e-08
117, 2.02932852744198e-08
118, 2.02960084294546e-08
119, 2.02925622971861e-08
120, 2.03015382282956e-08
121, 2.02949124172846e-08
122, 2.03002326060187e-08
123, 2.02961043527239e-08
124, 2.02949514971351e-08
125, 2.02931307313747e-08
126, 2.02949816952014e-08
127, 2.0298669412e-08
128, 2.03011651933593e-08
