element_id,Strain
1, 0.017041042
1, 0.016041677
1, 0.017011466
1, 0.016113134
1, 0.016557876
1, 0.015646387
1, 0.01666146
1, 0.0158509
2, 0.014626835
2, 0.0131671205
2, 0.014668375
2, 0.013059053
2, 0.014228236
2, 0.012834247
2, 0.014277016
2, 0.012733475
3, 0.012000581
3, 0.011955689
3, 0.012182004
3, 0.012436741
3, 0.011708585
3, 0.011808512
3, 0.011828487
3, 0.0122278575
4, 0.011611416
4, 0.011456709
4, 0.011999014
4, 0.011965468
4, 0.011646671
4, 0.011488875
4, 0.011960894
4, 0.011924259
5, 0.012079435
5, 0.012877456
5, 0.012220347
5, 0.012864307
5, 0.012028858
5, 0.012866281
5, 0.012221703
5, 0.012905127
6, 0.013369644
6, 0.013231926
6, 0.013124084
6, 0.012840805
6, 0.013395107
6, 0.013358864
6, 0.01319895
6, 0.01301713
7, 0.013004578
7, 0.012605925
7, 0.012693877
7, 0.012210121
7, 0.0130532095
7, 0.0125195095
7, 0.012836687
7, 0.012217858
8, 0.0133101605
8, 0.015017958
8, 0.012821734
8, 0.0142148
8, 0.013895397
8, 0.016208235
8, 0.013019299
8, 0.015015937
9, 0.018409235
9, 0.020455992
9, 0.017058436
9, 0.019365203
9, 0.019029204
9, 0.019638138
9, 0.018072149
9, 0.018942216
10, 0.021314962
10, 0.021607732
10, 0.020083075
10, 0.020570647
10, 0.020357775
10, 0.021590801
10, 0.01919596
10, 0.020623334
11, 0.019463558
11, 0.017817253
11, 0.019631188
11, 0.01785562
11, 0.019680966
11, 0.017626936
11, 0.019566888
11, 0.01738469
12, 0.015493197
12, 0.0150077315
12, 0.014780722
12, 0.013994784
12, 0.014966813
12, 0.014547541
12, 0.014206968
12, 0.013487269
13, 0.013471598
13, 0.01158924
13, 0.01282654
13, 0.011149571
13, 0.013098531
13, 0.011484674
13, 0.012939803
13, 0.011530525
14, 0.011919725
14, 0.014470139
14, 0.011663346
14, 0.014349834
14, 0.011492709
14, 0.013733983
14, 0.0112423375
14, 0.0136196
15, 0.015088107
15, 0.01481657
15, 0.015328057
15, 0.015267528
15, 0.014510974
15, 0.014841393
15, 0.01457832
15, 0.015119563
16, 0.014138128
16, 0.013745149
16, 0.014745263
16, 0.014239419
16, 0.0145271225
16, 0.014198544
16, 0.015083005
16, 0.014641603
17, 0.013295893
17, 0.012372503
17, 0.013491868
17, 0.012482488
17, 0.013772573
17, 0.012907969
17, 0.013909971
17, 0.012959443
18, 0.011922107
18, 0.011418304
18, 0.01171742
18, 0.011278018
18, 0.0124293305
18, 0.011722271
18, 0.012246476
18, 0.011603835
19, 0.011415092
19, 0.011647622
19, 0.011326133
19, 0.011674725
19, 0.011562169
19, 0.012056108
19, 0.01144063
19, 0.012050554
20, 0.012252731
20, 0.011654775
20, 0.011441525
20, 0.010280693
20, 0.0133695165
20, 0.012494088
20, 0.012271469
20, 0.0108334115
21, 0.012534554
21, 0.015510395
21, 0.011477188
21, 0.013941596
21, 0.012771876
21, 0.015482837
21, 0.011426681
21, 0.01362512
22, 0.016468197
22, 0.015768372
22, 0.014253164
22, 0.014397775
22, 0.016064845
22, 0.015099017
22, 0.014277511
22, 0.014155917
23, 0.011665101
23, 0.01177504
23, 0.012094084
23, 0.011838281
23, 0.0119615365
23, 0.011304805
23, 0.012101551
23, 0.011079834
24, 0.011534961
24, 0.010667759
24, 0.01163317
24, 0.01109343
24, 0.011893454
24, 0.012006847
24, 0.011863739
24, 0.012305373
25, 0.011130324
25, 0.012501966
25, 0.011168058
25, 0.011982211
25, 0.011574211
25, 0.012249242
25, 0.011384543
25, 0.011502495
26, 0.013655547
26, 0.015507957
26, 0.012931499
26, 0.014904096
26, 0.013071896
26, 0.014897148
26, 0.012462826
26, 0.014408446
27, 0.015395461
27, 0.014058307
27, 0.014795827
27, 0.013501089
27, 0.015040178
27, 0.013702914
27, 0.014498684
27, 0.013203738
28, 0.013434154
28, 0.013619894
28, 0.013885606
28, 0.013976366
28, 0.01317807
28, 0.013636656
28, 0.013773965
28, 0.014137564
29, 0.013580067
29, 0.01280729
29, 0.014232572
29, 0.013894511
29, 0.013809448
29, 0.013305831
29, 0.0142776575
29, 0.014208792
30, 0.01265779
30, 0.013568937
30, 0.013191913
30, 0.01385473
30, 0.012915107
30, 0.012984128
30, 0.013867666
30, 0.013688076
31, 0.012633367
31, 0.008641844
31, 0.012178908
31, 0.009029399
31, 0.01270054
31, 0.010568187
31, 0.0124385245
31, 0.011148852
32, 0.008297072
32, 0.011090348
32, 0.008902733
32, 0.011114046
32, 0.010006814
32, 0.011319229
32, 0.010936663
32, 0.0116668325
33, 0.011369923
33, 0.011116342
33, 0.012050832
33, 0.01187558
33, 0.011738812
33, 0.011916762
33, 0.01199528
33, 0.012251447
34, 0.015701106
34, 0.014042134
34, 0.01577269
34, 0.014472021
34, 0.015646737
34, 0.013808779
34, 0.015921842
34, 0.01444135
35, 0.014394177
35, 0.016420655
35, 0.015005781
35, 0.016836733
35, 0.0145117985
35, 0.015499204
35, 0.01486455
35, 0.015655624
36, 0.015913231
36, 0.013575495
36, 0.016661927
36, 0.01461042
36, 0.014024291
36, 0.012704173
36, 0.014997725
36, 0.013963826
37, 0.011783242
37, 0.011759264
37, 0.0116162645
37, 0.010866252
37, 0.011523173
37, 0.010904709
37, 0.011735665
37, 0.010391132
38, 0.011728794
38, 0.011898749
38, 0.0112492
38, 0.011194704
38, 0.010911762
38, 0.01157305
38, 0.010503721
38, 0.010940368
39, 0.012911959
39, 0.012545753
39, 0.011538905
39, 0.01139068
39, 0.0128086135
39, 0.012213106
39, 0.011531941
39, 0.011154603
40, 0.013520668
40, 0.015256898
40, 0.012347316
40, 0.014052769
40, 0.012630438
40, 0.014253304
40, 0.011557635
40, 0.013150091
41, 0.014672715
41, 0.013602459
41, 0.0136104375
41, 0.0127912825
41, 0.014547799
41, 0.013885106
41, 0.013528402
41, 0.013116821
42, 0.012570957
42, 0.013178859
42, 0.012787239
42, 0.013781599
42, 0.012568828
42, 0.012601486
42, 0.01229289
42, 0.01271116
43, 0.013556827
43, 0.013118221
43, 0.013745282
43, 0.013192361
43, 0.012883513
43, 0.013219994
