element_id,Strain
1, 0.007482719
1, 0.0069458666
1, 0.0074808244
1, 0.0069403676
1, 0.0072448794
1, 0.0067446646
1, 0.0073078275
1, 0.006803979
2, 0.0061950595
2, 0.005527972
2, 0.006203484
2, 0.005497753
2, 0.006009117
2, 0.005370065
2, 0.006026417
2, 0.005348723
3, 0.0049539953
3, 0.004978141
3, 0.0050687403
3, 0.00521404
3, 0.004825835
3, 0.0049161646
3, 0.0049427086
3, 0.0051541845
4, 0.004844408
4, 0.0047510783
4, 0.005075432
4, 0.0050701676
4, 0.0048708245
4, 0.004843689
4, 0.005015781
4, 0.0050767176
5, 0.0050414247
5, 0.00538193
5, 0.005140679
5, 0.005373627
5, 0.005096564
5, 0.0054437616
5, 0.005226155
5, 0.0054658065
6, 0.005613502
6, 0.005524329
6, 0.0054509016
6, 0.005303108
6, 0.005687255
6, 0.0056279553
6, 0.0055463207
6, 0.005428395
7, 0.005361442
7, 0.005125646
7, 0.00521796
7, 0.004926862
7, 0.005487681
7, 0.005299555
7, 0.0053766994
7, 0.005133252
8, 0.0056537907
8, 0.0067661135
8, 0.005382652
8, 0.0063273297
8, 0.00615369
8, 0.007461378
8, 0.0057449467
8, 0.0068846545
9, 0.008614313
9, 0.0095224
9, 0.007892095
9, 0.00894749
9, 0.008909002
9, 0.0091067245
9, 0.008388119
9, 0.008733412
10, 0.009692128
10, 0.009711303
10, 0.009122351
10, 0.009238411
10, 0.009269643
10, 0.00974797
10, 0.008713236
10, 0.009288298
11, 0.008575152
11, 0.007793536
11, 0.008723146
11, 0.00791942
11, 0.008699949
11, 0.0076931706
11, 0.008696197
11, 0.007667585
12, 0.006721353
12, 0.0063571204
12, 0.0063915905
12, 0.005993706
12, 0.006593252
12, 0.006253405
12, 0.006252974
12, 0.005879472
13, 0.005592958
13, 0.004907602
13, 0.0054520294
13, 0.0048600957
13, 0.0054942938
13, 0.0048508784
13, 0.0055219945
13, 0.0049719266
14, 0.005213898
14, 0.006416575
14, 0.0051877075
14, 0.0063474244
14, 0.0050616167
14, 0.006184079
14, 0.0050201314
14, 0.006099625
15, 0.0068795416
15, 0.0068161963
15, 0.0069169723
15, 0.006970036
15, 0.006624714
15, 0.0068276348
15, 0.006618906
15, 0.0069381776
16, 0.006370087
16, 0.0060158647
16, 0.006622829
16, 0.006236634
16, 0.006576517
16, 0.0062199845
16, 0.006795076
16, 0.0064065866
17, 0.0056188786
17, 0.0050922236
