element_id,Strain
1, 0.007401393
1, 0.0072529484
1, 0.0072751683
1, 0.0069848956
1, 0.007651927
1, 0.0070455275
1, 0.0074955965
1, 0.0067474637
2, 0.007046464
2, 0.0071557243
2, 0.006485941
2, 0.006528043
2, 0.006492374
2, 0.0066633294
2, 0.005857502
2, 0.0059612594
3, 0.0066024857
3, 0.006496077
3, 0.0060431487
3, 0.006194762
3, 0.00635552
3, 0.0064674723
3, 0.0058806194
3, 0.0062505216
4, 0.006538891
4, 0.0067215986
4, 0.0064346623
4, 0.0065458957
4, 0.0067327614
4, 0.006957826
4, 0.0065778876
4, 0.006731449
5, 0.0070334496
5, 0.007415719
5, 0.006756711
5, 0.00710875
5, 0.0073227393
5, 0.007935716
5, 0.0070928484
5, 0.00767557
6, 0.00775198
6, 0.0082891295
6, 0.007241698
6, 0.007750117
6, 0.008318985
6, 0.008623288
6, 0.00785571
6, 0.008131387
7, 0.008543386
7, 0.00885155
7, 0.008079652
7, 0.008408097
7, 0.008541643
7, 0.0082663605
7, 0.008026825
7, 0.0077720224
8, 0.008908998
8, 0.008671027
8, 0.00840967
8, 0.008236339
8, 0.008219162
8, 0.008573889
8, 0.007899249
8, 0.00831847
9, 0.00841794
9, 0.00781712
9, 0.007889075
9, 0.0072692866
9, 0.008341531
9, 0.0074662524
9, 0.007841885
9, 0.006947722
10, 0.0072387764
10, 0.0071261083
10, 0.0072564124
10, 0.0074554146
10, 0.0073783086
10, 0.0074581406
10, 0.0070175347
10, 0.0074091805
11, 0.0077477973
11, 0.007433611
11, 0.007589146
11, 0.0069802217
11, 0.0077961218
11, 0.007692156
11, 0.007834185
11, 0.0074351714
12, 0.0073216227
12, 0.0070334794
12, 0.0071579902
12, 0.0069118435
12, 0.006884547
12, 0.006690235
12, 0.0066787014
12, 0.0065263896
13, 0.006241534
13, 0.0054021846
13, 0.0064246026
13, 0.005206436
13, 0.005854285
13, 0.0051907455
13, 0.0063239685
13, 0.005281524
14, 0.004915301
14, 0.0058540464
14, 0.0047399853
14, 0.005739891
14, 0.004918758
14, 0.0056524966
14, 0.0046640537
14, 0.00545887
15, 0.006193912
15, 0.0057875155
15, 0.005850898
15, 0.005356859
15, 0.005991
15, 0.005865564
15, 0.0056445072
15, 0.005431354
16, 0.005706445
16, 0.005926734
16, 0.0052279118
16, 0.0053808647
16, 0.0060240766
16, 0.0063455184
16, 0.0055792765
16, 0.00583332
17, 0.005798902
17, 0.005687496
17, 0.0053908555
17, 0.0051505645
17, 0.0063596372
17, 0.006503531
17, 0.005884489
17, 0.005899314
18, 0.0054925885
18, 0.0054773125
18, 0.0046938336
18, 0.0048413654
18, 0.006256448
18, 0.0061259074
18, 0.005575541
18, 0.005608027
19, 0.005835288
19, 0.0070307655
19, 0.0053698285
19, 0.006567635
19, 0.0061740596
19, 0.006355054
19, 0.0055500166
19, 0.005733625
20, 0.0074639693
20, 0.006933986
20, 0.0073267715
20, 0.0069532795
20, 0.006386924
20, 0.0065120417
20, 0.0061730193
20, 0.006454439
21, 0.0071610496
21, 0.0077775954
21, 0.0067796144
21, 0.0073597855
21, 0.006966601
21, 0.007442169
21, 0.0067150593
21, 0.0071543967
22, 0.0077580493
22, 0.006977862
22, 0.00761898
22, 0.0071124923
22, 0.007596157
22, 0.0067295055
22, 0.007318745
22, 0.006725974
23, 0.005775487
23, 0.004894741
23, 0.005403726
23, 0.004451533
23, 0.005209183
23, 0.0046660495
23, 0.0048382683
23, 0.004223627
24, 0.0047625
24, 0.004440184
24, 0.0038890322
24, 0.0037823273
24, 0.0049892333
24, 0.004826159
24, 0.004026345
24, 0.0040789214
25, 0.0041844975
25, 0.00439876
25, 0.0038821825
25, 0.0039153025
25, 0.004328198
25, 0.004349829
25, 0.004056924
25, 0.0038974932
26, 0.0041162875
26, 0.0039985045
26, 0.0037676627
26, 0.0039272066
26, 0.004037689
26, 0.0039020902
26, 0.0036462322
26, 0.0037879136
27, 0.0038432416
27, 0.0037667872
27, 0.0037959851
27, 0.003666827
27, 0.0038849711
27, 0.0037939835
27, 0.003792607
27, 0.0036489093
28, 0.0037604973
28, 0.0036063967
28, 0.0035751597
28, 0.0034436504
28, 0.0036904821
28, 0.0035945727
28, 0.0034952026
28, 0.0034218787
29, 0.0032678528
29, 0.0032072107
29, 0.0033412979
29, 0.0030485666
29, 0.0035891833
29, 0.004092129
29, 0.0035321729
29, 0.003802823
30, 0.0033105537
30, 0.0037222824
30, 0.002760801
30, 0.0031891204
30, 0.0041623823
30, 0.004231987
30, 0.0039195865
30, 0.00400603
31, 0.0042814054
31, 0.0045658266
31, 0.0035456736
31, 0.0037663355
31, 0.004467267
31, 0.0047923517
31, 0.0038882177
31, 0.004149562
32, 0.004817314
32, 0.0055996156
32, 0.0044814697
32, 0.0052280044
32, 0.005080661
32, 0.0052809967
32, 0.0046631135
32, 0.0048278035
33, 0.0060993396
33, 0.006019298
33, 0.0056131748
33, 0.005638086
33, 0.0054485374
33, 0.005357891
33, 0.0048651057
33, 0.0048793396
34, 0.004766665
34, 0.0044058575
34, 0.004340184
34, 0.0043392503
34, 0.004507524
34, 0.0042074253
34, 0.0040010414
34, 0.0040606065
35, 0.0041956496
35, 0.004541993
35, 0.0046225414
35, 0.0048472015
35, 0.003983726
35, 0.0038067244
35, 0.0043453085
