time,x,y
22.7,0.00019998,-189.26
22.8,0.00019998,-182.04
22.9,0.000299955,-173.0
23.0,0.00039992,-163.25
23.1,0.000499875,-153.08
23.2,0.00059982,-141.77
23.3,0.00079968,-128.66
23.4,0.000899595,-114.62
23.5,0.001099395,-101.05
23.6,0.001199281,-87.04
23.7,0.001399021,-70.27
23.8,0.001598721,-52.36
23.9,0.001798382,-34.47
24.0,0.002097798,-15.42
24.1,0.002297359,5.46
24.2,0.002696362,27.02
24.3,0.002995509,46.75
24.4,0.003394233,66.08
24.5,0.003792798,84.74
24.6,0.004290781,102.08
24.7,0.004788517,118.06
24.8,0.005385472,132.21
24.9,0.005385472,132.21
25.0,0.005982072,145.27
25.1,0.006677655,155.88
25.2,0.007273484,164.84
25.3,0.00796817,172.94
25.4,0.008662373,180.16
25.5,0.009356095,186.21
25.6,0.009950331,190.9
25.7,0.010544214,194.9
25.8,0.011236632,198.94
25.9,0.011829752,202.24
26.0,0.01232375,204.42
26.1,0.012718772,206.54
26.2,0.013113639,208.02
26.3,0.013409687,209.23
26.4,0.013804281,210.67
26.5,0.014100124,211.42
26.6,0.014297305,211.93
26.7,0.014494446,212.9
26.8,0.014691549,212.69
26.9,0.014790085,211.81
27.0,0.014888612,211.58
27.1,0.014888612,211.15
27.2,0.014888612,209.29
27.3,0.014888612,207.24
27.4,0.014888612,204.26
27.5,0.014790085,200.33
27.6,0.014790085,197.78
27.7,0.014691549,192.02
27.8,0.014691549,186.53
27.9,0.014593002,179.62
28.0,0.014494446,171.31
28.1,0.01439588,160.75
28.2,0.014297305,149.46
28.3,0.014100124,137.53
28.4,0.01400152,123.95
28.5,0.013804281,109.01
28.6,0.013705647,94.77
28.7,0.01350835,78.01
28.8,0.013311014,60.57
28.9,0.013113639,43.11
29.0,0.012817504,24.29
29.1,0.012620031,4.12
29.2,0.01232375,-14.22
29.3,0.01202738,-32.54
29.4,0.011632084,-51.06
29.5,0.01133551,-68.89
29.6,0.010841023,-86.74
29.7,0.010346292,-103.6
29.8,0.009851316,-118.87
29.9,0.009157938,-133.42
30.0,0.008563231,-145.9
30.1,0.007868958,-155.81
30.2,0.007273484,-164.63
30.3,0.006578315,-172.95
30.4,0.005882663,-179.87
30.5,0.005186527,-185.65
30.6,0.004489905,-190.53
30.7,0.003992021,-194.52
30.8,0.003394233,-198.06
30.9,0.002995509,-201.14
31.0,0.00249688,-203.31
31.1,0.002197584,-205.09
31.2,0.001798382,-207.03
31.3,0.001399021,-208.54
31.4,0.001199281,-209.63
31.5,0.000899595,-210.24
31.6,0.000699755,-211.33
31.7,0.000499875,-211.96
31.8,0.000299955,-211.92
31.9,0.00019998,-211.68
32.0,9.9995e-05,-211.66
32.1,9.9995e-05,-210.74
32.2,1e-05,-210.05
32.3,1e-05,-209.59
32.4,1e-05,-208.25
32.5,1e-05,-205.77
32.6,9.9995e-05,-201.93
32.7,9.9995e-05,-197.16
32.8,0.00019998,-191.09
32.9,0.00019998,-184.73
33.0,0.000299955,-177.28
33.1,0.00039992,-168.03
33.2,0.000499875,-157.61
33.3,0.00059982,-146.3
33.4,0.00079968,-133.2
33.5,0.000899595,-118.94
33.6,0.001099395,-104.45
33.7,0.001199281,-89.98
33.8,0.001399021,-73.67
33.9,0.001598721,-57.14
34.0,0.001798382,-38.55
34.1,0.002097798,-18.36
34.2,0.002297359,0.92
34.3,0.002596626,21.35
34.4,0.002995509,42.21
34.5,0.003294567,61.53
34.6,0.003792798,81.58
34.7,0.004290781,100.24
34.8,0.004788517,115.99
34.9,0.005385472,130.64
35.0,0.005982072,142.78
35.1,0.006578315,153.8
35.2,0.007174204,162.79
35.3,0.007868958,170.43
35.4,0.008464078,177.38
35.5,0.009157938,183.68
35.6,0.009851316,189.05
35.7,0.010544214,193.98
