time,x,y
0.0001,0.0,4.13
0.1,0.000182,9.09
0.2,0.000182,16.12
0.3,0.000182,24.37
0.4,0.000364,33.85
0.5,0.000364,45.0
0.6,0.000547,55.71
0.7,0.000729,68.1
0.8,0.000729,80.09
0.9,0.000911,92.87
1.0,0.00109,106.1
1.1,0.00128,118.89
1.2,0.00146,132.51
1.3,0.00182,146.6
1.4,0.002,159.85
1.5,0.00237,172.66
1.6,0.00255,185.91
1.7,0.00291,198.34
1.8,0.0031,209.53
1.9,0.00346,220.3
2.0,0.00382,231.52
2.1,0.00419,241.9
2.2,0.00455,251.45
2.3,0.00473,260.59
2.4,0.00528,269.33
2.5,0.00564,276.88
2.6,0.006,283.53
2.7,0.00637,289.8
2.8,0.00673,294.84
2.9,0.00728,300.3
3.0,0.00782,304.14
3.1,0.00836,307.08
3.2,0.00873,309.22
3.3,0.00891,311.32
3.4,0.00927,314.3
3.5,0.00982,316.92
3.6,0.01,317.73
3.7,0.0104,319.87
3.8,0.0107,322.01
3.9,0.0109,322.88
4.0,0.0113,324.18
4.1,0.0116,326.32
4.2,0.0118,328.04
4.3,0.0124,331.06
4.4,0.0127,331.97
4.5,0.0129,332.39
4.6,0.0133,332.45
4.7,0.0134,334.18
4.8,0.0136,333.75
4.9,0.0138,334.24
5.0,0.0138,333.79
5.7,0.0178,355.35
5.8,0.0187,358.06
5.9,0.0198,361.99
6.0,0.0207,363.86
6.1,0.0216,366.52
6.2,0.0223,368.75
6.3,0.0232,371.48
6.4,0.0241,373.76
6.5,0.0248,375.15
6.6,0.0253,375.65
6.7,0.0259,377.46
6.8,0.0262,378.38
6.9,0.0268,378.89
7.0,0.027,379.78
7.1,0.0273,379.85
7.2,0.0275,378.65
7.3,0.0277,379.08
7.4,0.0279,377.87
7.5,0.0279,374.92
7.6,0.0279,373.22
7.7,0.0279,370.73
7.8,0.0279,367.79
7.9,0.0279,362.36
8.0,0.0277,356.04
8.1,0.0277,347.66
8.2,0.0275,336.76
8.3,0.0275,324.2
8.4,0.0273,307.81
8.5,0.027,288.91
8.6,0.0268,270.04
8.7,0.0266,249.47
8.8,0.0264,225.64
8.9,0.0261,198.79
9.0,0.0257,170.31
9.1,0.0253,140.53
9.2,0.025,107.9
9.3,0.0246,74.03
9.4,0.0241,38.86
9.5,0.0235,4.57
9.6,0.023,-29.25
9.7,0.0225,-59.71
9.8,0.0217,-89.76
9.9,0.021,-119.79
10.0,0.0201,-149.32
10.1,0.019,-176.33
10.2,0.018,-200.83
10.3,0.0167,-223.98
10.4,0.0154,-243.01
10.5,0.0142,-259.01
10.6,0.0129,-273.38
10.7,0.0116,-285.64
10.8,0.0051,-365.29
10.9,0.00437,-368.9
11.0,0.00364,-372.88
11.1,0.00291,-376.41
11.2,0.00237,-378.37
11.3,0.00182,-379.54
11.4,0.00146,-381.08
11.5,0.00109,-382.23
11.6,0.000729,-382.99
11.7,0.000547,-384.18
11.8,0.000182,-384.1
11.9,0.000182,-383.33
12.0,0.0,-382.84
12.1,-0.000182,-381.96
12.2,-0.000182,-379.9
12.3,-0.000182,-376.23
12.4,-0.000182,-376.23
12.5,-0.000182,-372.49
12.6,0.0,-358.92
12.7,0.000182,-347.42
12.8,0.000364,-333.4
12.9,0.000364,-333.4
13.0,0.000364,-318.57
13.1,0.000729,-282.33
13.2,0.00109,-259.68
13.3,0.00128,-234.1
13.4,0.00128,-234.1
13.5,0.00164,-206.85
13.6,0.00219,-148.31
13.7,0.00255,-119.81
13.8,0.00291,-88.45
13.9,0.00291,-88.45
14.0,0.00328,-54.96
14.1,0.00419,19.0
14.2,0.00473,56.23
14.3,0.00546,92.72
14.4,0.00546,92.72
14.5,0.00619,129.17
14.6,0.00782,195.97
14.7,0.00891,225.1
14.8,0.01,251.81
14.9,0.01,251.81
15.0,0.0111,273.56
15.1,0.0136,308.43
15.2,0.0149,321.96
15.3,0.016,332.95
15.4,0.0172,344.44
15.5,0.0185,353.4
15.6,0.0196,360.32
15.7,0.0205,366.76
15.8,0.0216,372.39
15.9,0.0225,376.75
16.0,0.0234,380.66
16.1,0.0243,383.79
16.2,0.0248,385.99
16.3,0.0255,388.69
16.4,0.0261,389.2
16.5,0.0262,389.24
16.6,0.0266,390.17
16.7,0.0268,390.6
16.8,0.027,390.64
16.9,0.0271,389.04
17.0,0.0273,389.08
17.1,0.0273,386.13
17.2,0.0273,381.09
17.3,0.0271,375.63
17.4,0.0271,367.25
17.5,0.027,358.38
17.6,0.027,349.22
17.7,0.0268,337.02
17.8,0.0266,323.19
17.9,0.0264,308.51
18.0,0.0262,289.64
18.1,0.0261,269.08
18.2,0.0259,248.98
18.3,0.0255,222.98
18.4,0.0253,195.37
18.5,0.025,167.3
18.6,0.0246,136.75
18.7,0.0243,103.67
18.8,0.0239,73.54
18.9,0.0235,42.64
19.0,0.023,8.75
19.1,0.0225,-25.06
19.2,0.0219,-59.7
19.3,0.0214,-96.01
19.4,0.0205,-131.81
19.5,0.0196,-166.41
19.6,0.0187,-195.51
19.7,0.0176,-222.47
19.8,0.0165,-248.09
19.9,0.0152,-270.41
20.0,0.014,-288.09
20.1,0.0127,-304.12
20.2,0.0114,-317.59
20.3,0.0104,-329.01
20.4,0.00909,-339.15
20.5,0.008,-347.68
20.6,0.00691,-354.92
20.7,0.006,-361.34
20.8,0.00528,-365.78
20.9,0.00455,-369.32
21.0,0.00382,-373.76
21.1,0.0031,-376.9
21.2,0.00255,-378.86
21.3,0.002,-380.81
21.4,0.00164,-382.34
21.5,0.00109,-383.07
21.6,0.000911,-383.87
21.7,0.000547,-385.47
21.8,0.000364,-385.43
21.9,0.000182,-384.55
22.0,0.0,-383.29
22.1,0.0,-382.0
22.2,0.0,-380.78
22.3,0.0,-379.16
22.4,0.0,-373.75
22.5,0.0,-366.34
22.6,0.000182,-356.9
22.7,0.000364,-344.94
22.8,0.000364,-331.79
22.9,0.000547,-315.31
23.0,0.000729,-297.55
23.1,0.000911,-279.0
23.2,0.00109,-258.39
23.3,0.00146,-234.51
23.4,0.00164,-208.92
23.5,0.002,-184.18
23.6,0.00219,-158.64
23.7,0.00255,-128.07
23.8,0.00291,-95.43
23.9,0.00328,-62.83
24.0,0.00382,-28.1
24.1,0.00419,9.95
24.2,0.00491,49.25
24.3,0.00546,85.22
24.4,0.00619,120.44
24.5,0.00691,154.46
24.6,0.00782,186.06
24.7,0.00873,215.17
24.8,0.00982,240.96
24.9,0.00982,240.96
25.0,0.0109,264.78
25.1,0.0122,284.1
25.2,0.0133,300.44
25.3,0.0145,315.21
25.4,0.0158,328.36
25.5,0.0171,339.39
25.6,0.0181,347.93
25.7,0.0192,355.24
25.8,0.0205,362.59
25.9,0.0216,368.61
26.0,0.0225,372.58
26.1,0.0232,376.44
26.2,0.0239,379.14
26.3,0.0244,381.34
26.4,0.0252,383.98
26.5,0.0257,385.33
26.6,0.0261,386.26
26.7,0.0264,388.04
26.8,0.0268,387.65
26.9,0.027,386.06
27.0,0.0271,385.64
27.1,0.0271,384.85
27.2,0.0271,381.45
27.3,0.0271,377.72
27.4,0.0271,372.29
27.5,0.027,365.12
27.6,0.027,360.48
27.7,0.0268,349.98
27.8,0.0268,339.97
27.9,0.0266,327.37
28.0,0.0264,312.23
28.1,0.0262,292.98
28.2,0.0261,272.42
28.3,0.0257,250.66
28.4,0.0255,225.92
28.5,0.0252,198.69
28.6,0.025,172.72
28.7,0.0246,142.18
28.8,0.0243,110.4
28.9,0.0239,78.57
29.0,0.0234,44.27
29.1,0.023,7.51
29.2,0.0225,-25.91
29.3,0.0219,-59.3
29.4,0.0212,-93.06
29.5,0.0207,-125.57
29.6,0.0198,-158.09
29.7,0.0189,-188.82
29.8,0.018,-216.65
29.9,0.0167,-243.18
30.0,0.0156,-265.92
30.1,0.0143,-283.99
30.2,0.0133,-300.05
30.3,0.012,-315.22
30.4,0.0107,-327.84
30.5,0.00945,-338.37
30.6,0.00818,-347.26
30.7,0.00728,-354.53
30.8,0.00619,-360.98
30.9,0.00546,-366.6
31.0,0.00455,-370.55
31.1,0.00401,-373.8
31.2,0.00328,-377.33
31.3,0.00255,-380.08
31.4,0.00219,-382.07
31.5,0.00164,-383.18
31.6,0.00128,-385.17
31.7,0.000911,-386.32
31.8,0.000547,-386.24
31.9,0.000364,-385.82
32.0,0.000182,-385.78
